clone,primers,replicate,Ct
maxRAS2,RAS2,1,18.76
maxRAS2,RAS2,1,18.61
maxRAS2,RAS2,2,19.83
maxRAS2,RAS2,2,19.62
maxRAS2,RAS2,3,19.39
maxRAS2,RAS2,3,19.46
maxNBP35,NBP35,1,23.02
maxNBP35,NBP35,1,22.49
maxNBP35,NBP35,2,21.96
maxNBP35,NBP35,2,22.51
maxNBP35,NBP35,3,22.75
maxNBP35,NBP35,3,22.28
maxGRX5,GRX5,1,17.74
maxGRX5,GRX5,1,17.90
maxGRX5,GRX5,2,18.33
maxGRX5,GRX5,2,18.10
maxGRX5,GRX5,3,20.17
maxGRX5,GRX5,3,20.41
wt,RAS2,1,18.02
wt,RAS2,1,19.05
wt,RAS2,2,19.35
wt,RAS2,2,19.28
wt,RAS2,3,19.25
wt,RAS2,3,19.16
wt,NBP35,1,21.61
wt,NBP35,1,21.73
wt,NBP35,2,21.99
wt,NBP35,2,22.61
wt,NBP35,3,22.88
wt,NBP35,3,22.10
wt,GRX5,1,20.41
wt,GRX5,1,20.26
wt,GRX5,2,21.02
wt,GRX5,2,20.45
wt,GRX5,3,20.70
wt,GRX5,3,20.73
wt,LEU3,1,21.29
wt,LEU3,1,21.31
wt,LEU3,2,21.28
wt,LEU3,2,21.37
wt,LEU3,3,22.05
wt,LEU3,3,21.46
maxRAS2,LEU3,1,21.34
maxRAS2,LEU3,1,20.92
maxRAS2,LEU3,2,20.91
maxRAS2,LEU3,2,21.12
maxRAS2,LEU3,3,21.49
maxRAS2,LEU3,3,21.97
maxNBP35,LEU3,1,22.05
maxNBP35,LEU3,1,21.69
maxNBP35,LEU3,2,21.33
maxNBP35,LEU3,2,22.27
maxNBP35,LEU3,3,22.35
maxNBP35,LEU3,3,22.57
maxGRX5,LEU3,1,21.79
maxGRX5,LEU3,1,21.31
maxGRX5,LEU3,2,21.53
maxGRX5,LEU3,2,21.89
maxGRX5,LEU3,3,21.89
maxGRX5,LEU3,3,22.14
