ORF,RNA Change (q-value FDR),Protein Change (q-value FDR),(C4)_030_rna,(C4)_060_rna,(C4)_090_rna,(C4)_120_rna,(C4)_240_rna,(C5)_030_rna,(C5)_060_rna,(C5)_090_rna,(C5)_120_rna,(C5)_240_rna,(C6)_030_rna,(C6)_060_rna,(C6)_090_rna,(C6)_120_rna,(C6)_240_rna,(C4)_030_protein,(C4)_060_protein,(C4)_090_protein,(C4)_120_protein,(C4)_240_protein,(C5)_030_protein,(C5)_060_protein,(C5)_090_protein,(C5)_120_protein,(C5)_240_protein,(C6)_030_protein,(C6)_060_protein,(C6)_090_protein,(C6)_120_protein,(C6)_240_protein
YMR218C,0.05004,0.153503,-0.1,-0.11,-0.22,-0.16,-0.19,0.03,0.06,-0.05,-0.08,0.03,-0.06,-0.2,-0.16,-0.15,-0.18,,,,,,0.04,0.18,-0.18,-0.43,0.31,,,,,
YCR047C,0,0.153604,-1.25,-0.81,-0.59,-0.39,-0.49,-1.85,-1.25,-1.09,-0.97,-0.34,-1.76,-0.7,-0.99,-1.13,-1.09,0.13,-0.01,-0.13,-0.01,-0.16,0.03,-0.26,-0.14,-0.46,-0.22,,,,,
YKL099C,0,0.15426,-1.15,-0.37,-0.38,-0.65,-0.44,-1.94,-1,-1.02,-1,-0.46,-1.74,-0.89,-0.39,-0.67,-0.5,,,,,,,,,,,-0.36,0.19,-0.41,-0.09,0.06
YHR042W,1.6E-05,0.154277,-0.9,-0.2,-0.31,-0.22,0.15,-0.74,-0.66,-0.51,-0.38,0,-0.97,-0.23,-0.44,-0.43,-0.5,-0.06,-0.09,-0.13,-0.2,-0.25,-0.02,-0.07,-0.11,-0.12,-0.1,0.02,0.03,0.03,0.05,-0.02
YPR185W,3E-05,0.15442,0.41,0.17,-0.03,0.22,0.04,0.56,0.28,0.2,0.22,0.37,0.5,0.17,0.15,0.17,0.11,,,,,,,,,,,-0.07,0.06,0.19,0.14,0.53
YDR397C,0,0.154909,-0.96,-0.12,-0.58,-0.21,-0.35,-1.5,-0.53,-0.66,-0.39,-0.07,-1.47,-0.37,-0.72,-0.49,-0.56,,,,,,0,-0.01,0.08,0.11,0.09,0.3,0.29,0.18,0.17,0.31
YJL128C,0.000238,0.155712,0.33,0.15,0.04,-0.07,0.18,0.48,0.38,0.08,0.09,0.28,0.34,0.21,-0.03,0.02,0,-0.05,0.1,-0.01,0.08,0.03,-0.15,0.22,0.05,-0.05,0.08,,,,,
YJL072C,0.488838,0.155756,-0.2,0.2,0.07,0.02,0.03,0.1,0.17,0.11,0.18,0.14,0,-0.04,0.12,-0.04,-0.17,-0.02,-0.52,-0.23,-0.09,-0.1,,,,,,,,,,
YLR133W,0,0.155774,1.13,0.39,0.33,0.35,0.42,1.14,0.59,0.48,0.65,0.55,0.87,0.48,0.28,0.39,0.36,-0.03,0.21,0.33,0.17,0.14,-0.08,0,0.19,0.18,0.2,0.11,-0.11,0.03,-0.34,0.42
YLR038C,0,0.156478,0.47,0.79,0.92,0.96,0.85,0.16,0.59,0.72,0.85,0.9,0.08,0.38,0.81,0.54,0.48,0.4,0.32,0.14,0.07,0.02,-0.05,0.25,0.26,0.16,0.67,,,,,
YHR216W,0,0.156519,-0.68,-0.55,-0.36,-0.34,-0.18,-0.65,-0.89,-0.61,-0.79,-0.28,-0.66,-1.01,-0.51,-0.51,-0.03,0.16,-0.12,-0.05,-0.11,0.09,-0.04,-0.04,-0.13,-0.13,0.1,,,,,
YGR037C,0.001145,0.156624,0.19,0.26,0.26,0.12,-0.03,0.5,0.24,0.47,0.54,0.49,0.06,0.64,0.43,0.4,0.46,0.01,0.04,0.13,0.17,0.27,-0.19,0.01,0.04,0.12,-0.21,0.03,0.09,0.18,0.24,0.14
YFR006W,0,0.157718,0.39,0.51,0.76,0.85,0.69,0.36,0.84,0.94,0.96,1.05,0.2,0.47,0.6,0.5,0.65,0.12,0.06,0.14,0.24,0.41,-0.01,0.11,0.15,0.17,0.5,-0.24,-0.06,-0.19,-0.13,0.01
YGL147C,0.002853,0.157864,-1.05,0.13,0.03,0.01,0.14,-0.31,-0.4,-0.07,0.18,0.46,-1.05,-0.78,-0.19,-0.2,0.22,-0.18,-0.11,-0.06,-0.06,-0.06,-0.2,-0.17,-0.16,-0.06,-0.24,-0.1,0.16,0.23,0.2,-0.3
YNL193W,2.5E-05,0.158285,0.72,0.17,-0.01,0.02,0.01,1.23,0.86,0.31,0.34,0.29,1.12,0.45,0.31,0.32,0.34,,,,,,0.15,0.25,0.25,0.19,0.39,,,,,
YOR288C,0,0.158327,0.87,0.75,0.47,0.56,0.38,1.22,0.71,0.74,0.62,0.6,1.03,0.63,0.74,0.43,0.31,,,,,,0.01,0.11,0.47,0.31,0.08,,,,,
YDR495C,0.451761,0.158369,0.25,0.13,-0.06,-0.15,-0.22,0.12,0.15,0.15,0.1,0.03,-0.02,-0.1,0.01,-0.03,-0.1,,,,,,0.24,0.28,0.29,0.23,0.25,,,,,
YDR469W,0.000949,0.159132,-0.64,0.18,-0.33,0.01,0.29,-0.82,-0.41,-0.21,-0.24,-0.06,-0.81,-0.35,0.06,-0.43,-0.27,,,,,,,,,,,0.14,-0.17,-0.2,-0.34,-0.36
YBR267W,5E-06,0.159189,-0.85,-0.65,-0.57,-0.52,-0.41,-2.24,-1.16,-1.19,-1.13,-0.51,-2.16,-0.83,-0.7,-0.93,-0.81,-0.13,-0.12,-0.11,-0.11,-0.07,0.04,-0.07,-0.03,-0.21,0.02,,,,,
YGR157W,0.00799,0.159654,-0.55,0.05,-0.25,-0.27,0.27,-0.56,-0.02,0.27,0.03,0.21,-0.86,-0.6,-0.45,-0.48,-0.07,0.01,0.04,0.05,-0.03,-0.03,-0.49,-0.32,-0.04,-0.05,-0.34,-0.06,-0.06,-0.08,-0.06,-0.17
YOR132W,1E-06,0.160463,0.67,0.4,0.15,0.31,0.21,0.7,0.32,0.15,0.21,0.11,0.75,0.46,-0.02,0.19,-0.17,,,,,,,,,,,0.06,0.12,-0.41,0.34,0.17
YIL052C,0.024671,0.160513,-0.31,0.13,0.15,-0.02,0.06,-0.51,-0.21,-0.14,-0.28,0.11,-0.89,-0.83,0.47,-0.03,0.42,0.02,-0.24,-0.2,-0.18,-0.08,0.5,0.09,-0.27,-0.08,0.27,-0.08,-0.06,-0.23,-0.25,-0.2
YIL108W,0,0.160555,1.58,0.57,0.71,0.65,0.39,1.92,0.96,0.85,0.85,0.69,1.82,0.76,0.75,0.66,0.52,0.04,0.16,0.12,0.29,0.31,0.17,0.29,0.26,0.23,0.35,-0.41,0.16,-0.13,-0.24,0.14
YOR043W,7.5E-05,0.160593,-0.45,-0.31,-0.13,-0.06,0.01,-0.26,-0.17,-0.15,0,0.09,-0.37,-0.37,-0.17,-0.08,-0.14,,,,,,-0.06,-0.48,0.03,-0.15,0.27,,,,,
YPR055W,0.004236,0.161347,0.43,-0.02,-0.01,-0.3,-0.27,0.66,0.21,0.21,0.12,0.13,0.46,-0.18,0.04,-0.02,-0.16,,,,,,-0.01,-0.02,-0.07,-0.12,0.37,0.33,0.61,0.05,0.39,0.56
YDL081C,0.00772,0.16241,-0.6,0,0.11,0.41,0.3,-0.26,-0.67,-0.22,-0.09,0.29,-0.69,-0.21,0.07,-0.17,0.29,-0.18,-0.42,-0.39,-0.39,-0.32,-0.14,-0.85,-0.78,-0.9,-1.24,0.04,0.08,0.24,0.17,0.04
YGR081C,4E-06,0.162879,-0.74,-0.26,-0.5,-0.64,-0.45,-1.44,-0.61,-0.9,-0.71,-0.36,-1.07,-0.19,-0.42,-0.35,-0.12,,,,,,-0.21,0.03,-0.16,-0.32,-0.39,,,,,
YCR002C,0.0425,0.163262,0.21,0.31,0.1,0,0.15,0.4,0.27,0.28,0.32,0.17,0.11,-0.17,0.09,0.03,0.12,-0.11,0.04,0.1,0.02,-0.05,-0.09,0.01,0.14,0.13,-0.04,0.11,0.32,0.11,0.14,0.15
YNL183C,0,0.163957,0.95,0.41,0.47,0.44,0.41,1.28,0.58,0.51,0.5,0.32,1,0.45,0.36,0.42,0.39,-0.07,-0.04,0.17,-0.43,-0.32,,,,,,,,,,
YKL001C,0.048419,0.164228,-1.13,1.03,-0.85,-0.32,-0.1,-0.23,-0.11,0.67,-0.42,0.09,-0.8,0.4,0.16,-0.85,0.21,,,,,,-0.47,0.01,0.05,-0.19,-0.25,,,,,
YDR228C,0.019598,0.164235,0.23,-0.29,-0.13,-0.05,-0.26,0.5,0.13,-0.17,0.09,0.11,0.48,-0.1,0.01,0.26,0.16,,,,,,0.08,0.04,0.42,-0.08,-0.77,-0.18,-0.23,0.17,-0.37,-0.07
YDR103W,0.081033,0.164911,0.08,-0.23,-0.07,-0.17,-0.28,0.4,0.04,0.13,0.05,-0.01,0.33,-0.15,0,0.04,0.09,0.37,0.34,0.16,0.19,-0.08,,,,,,,,,,
YKR064W,0.010978,0.164957,0.21,0.03,0.06,0.02,-0.13,0.39,0.21,0.21,0.17,0.19,0.18,0.11,0.08,0.17,0.1,0.38,0.34,0.1,0.21,0.08,,,,,,,,,,
YGR074W,0.00012,0.165061,-0.07,0.54,0.37,0.52,0.56,0.47,0.27,0.09,0.36,0.35,0.07,0.26,0.25,0.3,0.53,,,,,,0.16,0.36,0.38,0.43,0.46,-0.03,0.1,0.19,0.03,-0.04
YEL025C,0.106994,0.166526,-0.05,-0.22,-0.12,-0.07,-0.15,0.25,0.05,0.01,0.06,-0.03,0.23,-0.19,-0.23,-0.01,-0.16,0.39,0.24,0.01,-0.17,-0.28,,,,,,,,,,
YLR277C,0.004959,0.167087,-0.14,-0.16,-0.26,-0.25,-0.08,-0.04,0.02,-0.08,-0.03,-0.19,-0.15,-0.16,-0.22,-0.23,-0.35,0.36,0.05,-0.06,-0.29,-0.31,,,,,,,,,,
YMR275C,0.037237,0.167396,0.2,-0.04,-0.14,-0.23,-0.24,0.42,0.11,-0.03,0.02,0.03,0.06,-0.1,-0.3,-0.17,-0.25,,,,,,-0.72,-0.28,-0.43,-0.07,-0.08,-0.1,-0.15,0.05,0.01,-0.27
YGL203C,0.152458,0.167699,0.1,0.09,0.01,0.12,-0.05,-0.14,0.04,0.04,-0.05,-0.21,-0.14,-0.03,-0.14,-0.11,-0.39,-0.04,0.13,-0.39,-0.12,-0.36,,,,,,,,,,
YFL023W,1E-06,0.167983,-0.6,-0.43,-0.45,-0.42,-0.48,-1.25,-0.85,-0.82,-0.86,-0.44,-1.27,-0.67,-0.48,-0.84,-0.73,-0.23,-0.09,-0.15,-0.01,-0.48,,,,,,,,,,
YJL136C,0.033908,0.168365,0.09,0.44,0.46,0.87,1.05,-0.37,-0.15,-0.01,0.17,0.49,-1.2,0.41,0.12,0.16,0.25,-0.07,-0.1,-0.08,-0.06,-0.06,0.04,-0.43,-0.6,-0.61,-0.65,-0.02,-0.04,-0.04,-0.06,0.02
YCR028C-A,0.000794,0.168668,-0.68,0.1,0.55,-0.21,-0.16,-0.57,-0.29,0.22,0.19,0.13,-0.51,-0.51,0.49,-0.19,0.25,0.01,0.12,0.07,0.09,-0.01,0.05,0,0.09,-0.07,0.12,0.29,0.42,0.47,0.56,0.68
YDR098C,0.178205,0.169258,-0.04,-0.06,-0.22,-0.24,-0.08,-0.01,-0.04,-0.08,0.01,0.35,-0.37,-0.13,-0.11,-0.22,-0.05,-0.02,-0.21,-0.06,0.07,0.23,-0.05,-0.02,-0.12,-0.13,-0.27,-0.15,-0.34,-0.41,-0.38,-0.32
YLL010C,0.000592,0.169562,-0.16,-0.21,-0.34,-0.11,-0.44,0.29,-0.19,-0.25,-0.23,-0.29,-0.05,-0.09,-0.17,-0.2,-0.35,0.15,0.05,-0.45,-0.16,0.24,,,,,,,,,,
YPL098C,0.040969,0.169725,-0.19,-0.09,0.01,-0.06,0.08,-0.12,0.05,-0.01,-0.03,0.09,-0.37,0.17,0.1,-0.24,-0.02,-0.13,-0.08,-0.05,0.06,0.24,-0.78,-0.19,-0.04,0.05,-0.11,,,,,
YOL021C,1E-06,0.170145,-0.38,-0.58,-0.47,-0.49,-0.42,-0.29,-0.32,-0.51,-0.4,-0.12,-0.41,-0.33,-0.34,-0.35,-0.37,0.11,0.08,-0.01,0,0,-0.12,-0.1,-0.08,-0.18,-0.26,-0.39,-0.64,-0.26,-0.98,-0.59
YER164W,0,0.170212,-0.45,-0.35,-0.27,-0.42,-0.36,-0.65,-0.42,-0.37,-0.5,-0.37,-0.54,-0.28,-0.4,-0.42,-0.59,0.14,0.09,0.09,0.03,-0.05,0.05,0.27,0.11,0.07,0.2,,,,,
YDR468C,0.02042,0.170459,0.14,0.06,-0.16,-0.02,-0.23,-0.4,-0.22,-0.37,-0.36,-0.19,-0.24,-0.02,-0.19,-0.21,-0.23,,,,,,-0.22,-0.17,0.04,-0.28,0.09,0.17,-0.2,-0.13,-0.14,0.19
YPL093W,0,0.170511,-1.82,-0.78,-0.5,-0.42,-0.37,-3.44,-0.87,-0.91,-0.71,-0.27,-3.44,-0.83,-0.58,-0.64,-0.65,-0.2,0.05,0.06,0.02,-0.08,-0.25,-0.14,-0.21,-0.19,-0.38,0,-0.04,-0.06,-0.09,0.02
YJR133W,8E-06,0.170582,-0.48,-0.19,-0.25,-0.23,-0.04,-0.48,0.01,-0.08,-0.06,-0.13,-0.57,-0.11,-0.21,-0.23,-0.05,0.2,-0.21,0.09,-0.42,-0.2,,,,,,,,,,
YPR051W,0.115966,0.170974,0.03,0.17,0.25,0.04,0.22,-0.54,-0.24,-0.36,-0.32,0.02,-0.73,-0.27,-0.27,-0.31,-0.1,,,,,,0.02,-0.01,0.11,0.54,0.06,,,,,
YDR050C,0.002245,0.171294,-0.22,0.68,0.46,0.18,0.75,-0.11,0.02,0.32,0.29,0.14,-0.21,0.39,0.37,0.17,0.18,0.16,0.17,0.06,0.02,-0.04,-0.02,0.02,0.07,0,0.05,0.01,0.07,0.11,0.15,0.12
YDR515W,1.8E-05,0.171466,0.38,-0.21,-0.19,-0.45,-0.13,0.15,-0.12,-0.24,-0.3,-0.21,0.08,-0.2,-0.24,-0.44,-0.21,,,,,,0.15,0.16,-0.11,0.21,0.45,,,,,
YLR163C,0.002027,0.172404,0.46,-0.02,0.06,0.06,0.21,0.29,0.32,0.18,0.18,0.32,0.44,0.15,0.04,0.11,-0.09,0.13,0.23,-0.07,0.18,-0.1,0.27,0.4,0.39,0.28,0.49,,,,,
YGL197W,9E-06,0.172509,0.67,0.08,0.2,0.22,0.24,0.65,0.53,0.24,0.44,0.33,0.67,0.34,-0.06,0.26,0.13,-0.31,-0.11,-0.08,-0.26,-0.35,,,,,,,,,,
YGL189C,0.014336,0.173324,-0.32,0.5,0.29,0.11,0.54,-0.28,-0.34,-0.09,-0.04,0.45,-0.91,-0.21,0.28,-0.02,0.35,0.18,-0.26,-0.22,-0.2,-0.06,0.51,0.22,-0.13,-0.06,0.33,-0.07,-0.19,-0.2,-0.29,-0.07
YER155C,1E-06,0.173365,-0.3,-0.47,-0.35,-0.48,-0.28,-0.43,-0.22,-0.32,-0.32,-0.32,-0.43,-0.42,-0.42,-0.24,-0.27,-0.01,0.09,0.19,0.12,0.08,-0.06,0.01,0.03,-0.03,-0.1,-0.01,0.65,0.29,0.38,0.37
YKL084W,1E-06,0.173514,-1.01,-0.28,-0.38,-0.34,0.03,-1.09,-0.58,-0.66,-0.33,-0.09,-1.26,-0.13,-0.42,0.08,0.16,,,,,,,,,,,-0.16,-0.21,-0.23,-0.35,-0.24
YDR047W,6E-06,0.173565,0.16,0.29,0.36,0.29,0.2,0.43,0.38,0.47,0.37,0.48,0.39,0.59,0.47,0.31,0.13,-0.21,0.06,-0.23,-0.24,-0.38,,,,,,,,,,
YCR060W,0.002186,0.17396,-0.58,0.7,0.27,0.37,0.57,-0.8,-0.12,-0.11,0.05,0.38,-1.1,0.52,-0.02,-0.07,-0.12,0.19,-0.01,-0.1,-0.17,-0.4,,,,,,-0.08,0.03,0.13,-0.01,-0.18
YMR304W,0,0.174251,1.37,0.75,0.38,0.48,0.38,1.01,1.29,0.93,0.85,0.62,0.96,0.8,0.56,0.55,0.32,0.38,0.16,0.5,0.44,0.53,-0.23,0.11,0.21,0.27,0.19,-0.75,0.32,0.01,0.05,0.03
YNL189W,0.758852,0.174429,0.21,-0.04,-0.01,0.05,-0.02,0.06,0.14,-0.06,-0.07,0.01,-0.08,-0.08,-0.06,-0.14,-0.11,0.08,0.06,0.05,0,0.06,0.07,0.04,0.04,0.08,0.17,0.02,0.01,-0.04,-0.02,0.03
YDL111C,4E-06,0.17479,-0.7,-0.32,-0.42,-0.39,-0.25,-0.87,-0.44,-0.61,-0.64,-0.33,-0.62,-0.14,-0.16,-0.3,-0.07,,,,,,-0.04,0.02,-0.1,-0.15,-0.05,0.1,-0.44,-0.28,-0.3,-0.54
YMR290C,0,0.17493,-2.13,-1.01,-0.49,-0.94,-0.64,-2.12,-1.23,-1.2,-0.93,-0.23,-2.8,-1.25,-0.77,-0.66,-0.62,-0.07,-0.02,-0.18,-0.14,-0.24,-0.19,-0.09,-0.16,-0.25,-0.37,0,0.02,0.04,0.14,0.03
YKL064W,0,0.174993,0.56,0.3,0.11,0.1,0.07,0.67,0.17,0.21,0.13,0.13,0.62,0.11,0.16,0.03,0.11,,,,,,0.39,-0.24,-0.26,-0.12,-0.09,,,,,
YNL262W,0,0.175147,-0.85,-0.16,-0.46,-0.38,-0.39,-0.73,-0.27,-0.2,-0.43,-0.16,-0.8,-0.33,-0.4,-0.48,-0.52,,,,,,0.11,-0.08,-0.45,-0.23,-0.16,,,,,
YEL015W,4.9E-05,0.176912,-0.11,-0.18,-0.11,-0.44,-0.22,-0.21,-0.17,-0.26,-0.3,-0.14,-0.24,-0.19,-0.26,-0.22,-0.39,0.11,0.14,0.13,0.08,-0.05,0.06,0.2,0.11,0.02,0.3,,,,,
YBR214W,0,0.176963,3.53,1.52,1.21,1.33,1.22,3.78,1.91,1.49,1.66,1.03,3.33,1.73,0.9,1.09,0.8,,,,,,0.21,0.6,0.6,0.61,0.55,-0.12,-0.12,0.27,-0.08,0.3
YOR061W,0,0.177714,-0.39,-0.5,-0.43,-0.38,-0.53,-0.58,-0.34,-0.29,-0.5,-0.26,-0.55,-0.39,-0.35,-0.45,-0.28,-0.2,0.12,-0.31,0.02,-0.1,,,,,,-0.06,-0.19,-0.12,-0.02,-0.12
YGR049W,0.000142,0.177919,-1.18,0.1,-0.03,-0.06,0,-1,-0.52,-0.14,-0.31,-0.2,-2.03,-0.34,-0.66,-0.64,-0.56,0.42,0.32,0.08,-0.03,-0.09,,,,,,,,,,
YML094W,1.3E-05,0.178326,-0.6,-0.2,-0.52,-0.48,-0.47,-0.78,-0.25,-0.57,-0.49,0.06,-1.15,-0.32,-0.23,-0.26,-0.12,-0.01,-0.01,-0.03,-0.07,-0.11,-0.02,-0.04,0.05,-0.01,-0.19,,,,,
YBR261C,1E-05,0.178773,-0.67,-0.16,-0.38,-0.37,-0.28,-0.73,-0.51,-0.66,-0.54,-0.09,-0.85,0.06,-0.34,-0.69,-0.54,,,,,,0.17,0.18,0.26,0.31,0.26,,,,,
YOR095C,0,0.179211,-1.61,-0.55,-0.58,-0.44,0.16,-1.94,-0.82,-0.88,-0.65,0.01,-2.27,-0.59,-0.5,-0.29,0.02,-0.08,-0.11,-0.16,-0.18,-0.26,-0.08,-0.03,-0.14,-0.19,-0.22,0.09,0.11,0.05,0.03,0.02
YMR210W,0,0.180069,0.85,0.61,0.39,0.53,0.53,1.12,0.41,0.6,0.59,0.52,0.87,0.32,0.35,0.32,0.11,,,,,,0.1,-0.26,-0.39,-0.11,0.22,,,,,
YDR178W,0,0.180315,1.1,0.8,1.39,0.83,0.38,1.36,0.61,1.11,0.94,0.41,1.05,0.03,0.86,0.77,0.7,0.46,0.2,-0.03,0.04,-0.24,,,,,,0.4,0.39,0.32,0.3,0.57
YGR158C,0,0.180396,-0.6,-0.32,-0.48,-0.24,-0.47,-0.96,-0.52,-0.5,-0.47,-0.12,-0.97,-0.37,-0.47,-0.48,-0.5,,,,,,-0.22,-0.21,-0.41,0.01,-0.17,,,,,
YLR196W,0,0.181062,-1.55,-0.71,-0.59,-0.56,-0.52,-2.59,-0.91,-1.07,-1.07,-0.47,-2.41,-0.65,-0.47,-0.76,-0.52,-0.06,0,-0.07,0.03,-0.08,-0.06,-0.25,-0.33,-0.44,-0.36,-0.03,0.04,0.08,0,-0.22
YNL185C,0.00162,0.181109,-0.22,-0.21,-0.41,-0.45,-0.38,-0.43,-0.12,-0.04,-0.03,-0.02,-0.34,-0.14,-0.25,-0.33,-0.22,,,,,,0.09,0.11,0.26,0.22,0.39,,,,,
YML085C,0.017119,0.181617,-0.42,0.51,0.73,0.24,0.28,-0.03,-0.12,0.42,0.45,0.32,-0.32,-0.37,0.28,0.13,0.03,-0.05,0.05,0.13,0.15,0.2,-0.05,-0.09,0.05,0.03,0.06,-0.05,-0.06,-0.07,0.01,0.06
YCL012C,0.78568,0.181994,-0.16,-0.35,-0.5,-0.35,-0.18,-0.13,0.39,-0.23,0,0,0.1,-0.04,0.16,0.08,0.44,,,,,,0.34,0.05,0.29,-0.02,0.29,,,,,
YDL171C,0,0.182021,-1.56,-0.78,-0.07,0.03,0.11,-1.1,-1.08,-0.57,-0.44,-0.24,-1.38,-1.25,-0.67,-0.14,-0.2,0.05,-0.04,-0.03,0.06,0.23,-0.04,-0.09,-0.14,-0.19,-0.04,-0.04,-0.09,-0.05,0.04,0.24
YBR193C,0.001728,0.182049,0.41,0.16,0.12,0.22,-0.02,0.69,0.32,0.11,0.13,0.42,0.41,0.31,-0.09,-0.04,-0.13,0.36,-0.07,0.36,0.12,0.09,,,,,,,,,,
YLR055C,0.012919,0.182105,-0.11,-0.2,-0.18,0,-0.24,-0.26,-0.16,-0.18,-0.16,0.11,-0.49,-0.17,-0.39,-0.37,-0.53,,,,,,0,-0.04,-0.27,-0.26,-0.38,,,,,
YPR169W,4E-06,0.182439,-0.57,-0.55,-0.53,-0.66,-0.41,-0.73,-0.4,-0.65,-0.8,-0.14,-0.75,-0.28,-0.21,-0.3,-0.12,0.27,0.34,0.21,0.23,-0.02,,,,,,,,,,
YLL015W,0.005558,0.182603,0.33,0.14,0.1,0.03,0.16,0.18,0.28,0.3,0.19,0.1,0.22,0.07,0.09,0,-0.06,0.08,0.07,-0.01,0.24,0.17,0.64,1.41,0.22,0.18,0.94,,,,,
YPL023C,0.031649,0.183337,0.19,-0.04,-0.18,-0.17,-0.07,0.29,0.16,0.07,-0.15,-0.01,0.11,-0.09,-0.26,-0.28,-0.39,-0.01,0.07,0.32,0.4,0.13,,,,,,,,,,
YGR235C,1E-06,0.184016,0.95,0.58,0.34,-0.01,0.15,0.52,0.58,0.38,0.2,0.39,0.68,0.7,0.66,0.3,0.38,,,,,,-0.2,-0.25,-0.22,-0.31,0.19,,,,,
YDR068W,0.000484,0.184073,0.1,0.11,-0.17,-0.38,-0.2,-0.45,-0.3,-0.56,-0.72,-0.35,-0.44,-0.22,-0.39,-0.76,-0.63,-0.36,-0.23,-0.11,-0.2,-0.22,,,,,,,,,,
YGR270W,0.093299,0.184547,0.38,0,0.11,-0.02,-0.1,0.02,0.14,-0.14,-0.17,-0.05,0.1,0.06,-0.11,-0.17,-0.24,0.01,0.12,-0.18,0.26,0.1,0.35,0.44,-0.01,-0.07,0.22,,,,,
YBR120C,0.109561,0.1847,0.14,0.25,-0.08,0.15,0.44,-0.08,0.11,0.04,0.12,0.09,0.29,-0.07,0.2,0.06,0.13,,,,,,,,,,,0.19,0.08,0.24,0.33,0.27
YBR145W,0,0.184986,-0.16,0.97,1.08,1.15,0.75,-0.03,1.44,1.32,1.34,0.7,-0.32,0.79,0.94,1.27,1.45,0.23,0.12,0.16,0.27,0.34,,,,,,,,,,
YDR207C,0.002495,0.185044,0.3,0.35,0.32,0.29,0.26,0.33,0.13,0.04,0.13,0.27,0.18,0.53,-0.03,0.06,0.01,,,,,,,,,,,-0.06,0.24,-0.24,0.16,-0.37
YOL004W,0.001666,0.186179,0.39,0.01,0.11,-0.22,-0.31,0.1,0.03,-0.06,-0.18,-0.29,0.02,-0.14,-0.18,-0.32,-0.53,-0.02,0.03,-0.12,-0.05,-0.21,-0.15,-0.02,0.06,0.07,-0.08,-0.36,-0.35,-0.29,-0.33,-0.06
YLR399C,0.00608,0.186257,-0.12,0.05,-0.24,-0.04,-0.44,-0.05,-0.17,-0.14,-0.33,-0.07,0.03,0,-0.11,-0.3,-0.37,,,,,,0.38,-0.04,0.16,-0.2,0.26,,,,,
YPL083C,4E-06,0.186316,-0.34,-0.36,-0.44,-0.49,-0.1,-0.19,-0.24,-0.33,-0.32,-0.04,-0.28,-0.38,-0.35,-0.35,-0.36,,,,,,,,,,,-0.12,0.13,0.26,0.11,0.41
YBR102C,0.022303,0.186665,0,0.01,-0.11,-0.15,-0.27,-0.15,-0.06,-0.05,-0.15,-0.06,-0.04,-0.12,-0.02,-0.05,-0.21,-0.16,-0.1,-0.16,-0.18,-0.43,,,,,,,,,,
YBL056W,0.07258,0.186838,0.55,0.03,-0.23,-0.36,0.25,0.48,0.22,0.17,0.01,0.11,0.14,-0.22,-0.02,-0.31,-0.32,0.14,0.16,0.04,-0.05,-0.04,0,0.23,0.18,0.03,0.24,,,,,
YMR282C,0.000481,0.187605,0.1,0.16,0.27,0.14,0.31,0.12,0.22,0.27,0.34,0.29,0.2,0.33,0.26,0.16,-0.04,,,,,,-0.11,0.16,0.14,0.36,0.3,,,,,
YHR193C,0.23952,0.18761,-0.19,0.46,0.11,0.43,0.54,-0.18,-0.46,-0.47,-0.28,0.36,-0.62,0.42,-0.01,-0.11,0.11,0,-0.12,-0.11,-0.14,-0.07,-0.08,0,0.03,0.05,-0.15,-0.02,-0.01,-0.06,-0.02,-0.09
YGL231C,0.660091,0.18797,-0.23,0.13,-0.03,-0.19,-0.19,0.18,0.42,0.14,0.17,0.16,-0.01,-0.12,0.19,0.29,0.34,,,,,,-0.33,-0.26,-0.11,-0.35,-0.71,-0.17,-0.03,0.08,0.03,-0.07
YDR194C,3.2E-05,0.189446,-0.06,-0.49,-0.37,-0.42,-0.49,-0.72,-0.54,-0.46,-0.34,-0.08,-0.52,-0.63,-0.26,-0.5,-0.44,-0.11,-0.02,-0.12,-0.37,-0.03,-0.15,-0.08,0.01,-0.04,-0.03,,,,,
YML039W,0.540363,0.189693,0.01,-0.04,-0.11,-0.11,-0.19,0.01,0.04,0.07,-0.02,-0.04,0.05,-0.15,-0.02,-0.08,0.02,,,,,,,,,,,-0.04,-0.13,-0.25,-0.32,-0.3
YMR089C,0.006773,0.190143,0.01,-0.11,-0.08,-0.11,-0.04,-0.5,-0.1,-0.23,-0.27,-0.09,-0.52,-0.34,-0.4,-0.52,-0.31,1.88,1.44,1.82,0.44,0.88,-0.17,-0.03,-0.01,0.18,0.06,0.13,0.29,0.3,0.24,0.41
YNR049C,2.9E-05,0.190177,0.6,0.23,0.12,0.33,0.31,0.52,0.29,-0.05,0.1,0.32,0.56,0.31,-0.02,0.07,-0.05,0.24,0.09,0.28,-0.18,0.31,,,,,,,,,,
YFL037W,0.161366,0.190199,-0.17,0.4,0.41,0.23,0.34,-0.01,-0.25,0.26,0.22,0.24,-0.27,0,0.2,0.06,-0.31,0.01,0.04,0.06,0.05,0.1,-0.03,-0.01,0.03,0.02,-0.04,0.04,0.01,0.13,0.11,0.16
YKR035W-A,0.175272,0.191569,0.73,0.28,0.02,-0.14,-0.07,-0.26,-0.21,-0.34,-0.38,-0.13,0.08,0.09,-0.06,-0.5,-0.44,,,,,,0.16,0.03,0.11,0.02,0.12,-0.03,0.02,0.14,0.08,0.08
