ORF,RNA Change (q-value FDR),Protein Change (q-value FDR),(C4)_030_rna,(C4)_060_rna,(C4)_090_rna,(C4)_120_rna,(C4)_240_rna,(C5)_030_rna,(C5)_060_rna,(C5)_090_rna,(C5)_120_rna,(C5)_240_rna,(C6)_030_rna,(C6)_060_rna,(C6)_090_rna,(C6)_120_rna,(C6)_240_rna,(C4)_030_protein,(C4)_060_protein,(C4)_090_protein,(C4)_120_protein,(C4)_240_protein,(C5)_030_protein,(C5)_060_protein,(C5)_090_protein,(C5)_120_protein,(C5)_240_protein,(C6)_030_protein,(C6)_060_protein,(C6)_090_protein,(C6)_120_protein,(C6)_240_protein
YDR391C,0,0,1.79,1.09,0.65,0.87,0.67,2.09,1.5,1.09,1.23,1.03,1.75,1.01,0.85,0.78,0.72,0.18,0.57,0.62,0.69,0.69,0.29,0.73,0.62,0.65,0.88,0.04,0.4,0.74,0.67,0.7
YEL047C,7E-06,0,0.03,0.69,0.79,0.71,0.52,0.23,0.12,0.48,0.49,0.39,0.16,0.32,0.52,0.53,0.28,0.09,0.14,0.21,0.3,0.34,0.11,0.15,0.22,0.22,0.4,0.14,0.23,0.35,0.36,0.43
YER062C,0,0,5.07,4.05,3.6,3.38,3.38,5.25,4.97,4.1,3.79,3.73,4.44,4.17,2.77,2.33,2.17,1.74,2.38,2.37,2.33,2.22,1.37,2.43,2.59,2.55,2.42,0.94,1.66,1.67,1.6,1.58
YER117W,1.8E-05,0,-0.78,0.28,0.31,0.35,0.79,-0.69,-0.24,0.06,0.09,0.35,-1.16,-0.08,0.22,0.26,0.5,-0.08,-0.33,-0.38,-0.4,-0.26,0.05,-0.23,-0.3,-0.36,-0.35,-0.03,-0.27,-0.3,-0.33,-0.29
YFL014W,0,0,7.76,7.64,6.67,6.61,5.71,7.3,7.44,7.23,6.42,5.54,6.87,7.15,6.53,5.57,4.79,1.52,2.38,2.49,2.48,2.16,1.22,2.38,2.64,2.93,2.64,1.35,2.73,3.03,3.08,2.76
YFR053C,0,0,4.39,3.89,3.63,3.88,3.07,4.43,4.36,4.39,4.26,3.48,2.64,2.79,2.44,2.15,1.59,0.71,1.27,1.49,1.72,1.89,0.52,1.52,1.97,2.3,2.39,0.33,1.07,1.44,1.61,1.71
YGL037C,0,0,3.97,2.34,1.88,2.29,1.8,3.66,3.37,2.49,2.45,2.22,2.89,1.98,1.33,1.33,0.9,0.99,1.41,1.46,1.48,1.4,0.82,1.55,1.55,1.48,1.36,0.7,1.26,1.28,1.23,1.16
YGL202W,0,0,-0.01,0.47,0.59,0.51,0.43,-0.15,0.25,0.46,0.48,0.59,-0.15,0.26,0.37,0.66,0.74,0.01,0.08,0.16,0.22,0.35,0.02,0.05,0.13,0.2,0.45,0.06,0.07,0.14,0.24,0.33
YGR043C,0,0,5.84,3.41,1.76,2.09,2.42,5.46,5.1,3.21,2.54,2.22,5.8,4.42,2.8,2.59,2.72,1.35,2.13,1.98,1.86,1.52,0.72,1.95,2.1,1.98,1.73,0.99,2.31,2.38,2.39,2.07
YGR086C,0,0,1.91,0.86,0.62,0.97,0.94,2.16,1.34,0.8,0.91,0.99,2.02,1.18,0.3,0.37,0.28,0.32,0.54,0.51,0.55,0.59,0.25,0.56,0.61,0.56,0.72,0.32,0.53,0.56,0.57,0.68
YGR088W,0,0,5.55,1.99,1.8,1.99,1.92,6.1,3.7,3.25,3.2,2.24,5.95,2.42,2.1,2.53,1.97,1.59,1.82,1.75,1.67,1.49,1,1.8,1.87,1.8,1.53,1.29,1.88,1.79,1.92,1.52
YGR130C,0,0,2.22,0.79,0.77,0.65,0.49,1.62,0.73,0.58,0.64,0.45,1.73,0.62,0.41,0.25,0.07,0.43,0.44,0.36,0.43,0.37,0.19,0.6,0.58,0.67,0.77,0.26,0.5,0.41,0.58,0.62
YGR254W,0.05965,0,0.14,0.6,0.39,0.41,0.48,0.03,0.05,0.23,0.24,0.11,-0.21,-0.02,0.27,0.09,-0.11,0.22,0.57,0.78,1.05,1.45,0.14,0.34,0.78,1.23,1.67,0,0.23,0.41,0.7,0.97
YHR018C,0,0,0.73,1.47,2.18,2.05,1.26,0.66,2.44,2.07,1.99,1.46,0.36,1.45,1.75,1.96,1.79,0.28,0.35,0.39,0.55,0.68,0,0.26,0.44,0.47,0.98,0.16,0.37,0.47,0.58,1.07
YHR087W,0,0,6.67,4.36,3.81,3.99,3.53,6.78,6.19,5.21,4.84,4.48,6.52,4.82,4.13,3.8,3.97,2.4,2.93,2.83,2.81,2.62,1.26,2.58,2.72,2.79,2.24,2.06,3.22,3.29,3.26,2.98
YHR094C,0,0,2.16,0.31,0.69,0.71,1.29,2.27,0.41,0.25,0.46,1,2.83,1.01,0.99,1.05,1.49,0.58,0.62,0.6,0.64,0.65,0.41,0.69,0.49,0.43,0.76,0.49,0.9,0.93,0.93,1
YHR104W,0,0,3.51,1.84,1.13,1.38,1.26,3.54,3.19,2.15,1.76,1.61,3,2.05,1.32,1.12,1.28,0.67,1.23,1.22,1.23,1.24,0.34,1.11,1.28,1.26,1.16,0.26,0.96,1.01,1.03,0.97
YHR137W,0,0,3.73,1.24,2.3,2.04,1.96,3.6,2.63,1.78,2.39,2.07,3.48,1.79,1.81,2.48,1.79,0.84,1.21,1.24,1.35,1.42,0.49,1.31,1.36,1.38,1.48,0.9,1.6,1.54,1.73,1.86
YHR215W,0,0,-3.49,-2.43,-0.62,-0.91,-1.72,-2.22,-3.49,-2.26,-0.52,-1.8,-2.93,-3.02,-1.91,-0.88,-1.92,-0.19,-0.65,-0.63,-0.64,-0.97,-0.11,-0.5,-0.72,-0.8,-1.15,-0.25,-0.55,-0.6,-0.77,-0.93
YIL033C,0,0,1.38,0.8,0.39,0.7,0.32,1.23,1.01,0.64,0.57,0.53,0.99,0.81,0.16,0.28,-0.02,0.17,0.31,0.26,0.27,0.28,0.16,0.25,0.32,0.29,0.51,0.17,0.37,0.3,0.37,0.39
YJL052W,0.000841,0,0.28,1.08,1.89,2.31,2.29,0.12,0.29,0.38,0.68,0.53,0.23,0.27,1.15,1.57,0.76,0.29,0.5,0.79,1.33,2.24,0.29,0.4,0.81,1.34,2.55,0.39,0.65,0.98,1.41,2.35
YJR104C,0.000139,0,0.78,1.28,1.08,1.35,1.01,0.13,0.81,1.11,0.86,0.98,-0.35,0.71,0.69,0.44,0.12,0.2,0.17,0.3,0.42,0.59,0.1,0.21,0.31,0.36,0.73,0.14,0.24,0.2,0.29,0.49
YJR109C,0,0,-0.6,1.56,1.89,1.81,1.37,-0.67,2.12,2.21,1.92,1.73,-0.66,1.49,1.96,2.02,2.12,-0.06,0.2,0.33,0.48,0.8,-0.01,0.13,0.48,0.62,1,0,0.01,0.23,0.33,0.85
YKL035W,0,0,2.25,1.45,1.34,1.36,1.3,2.2,1.99,1.56,1.62,1.2,2.4,1.84,1.17,1.35,0.91,0.5,0.78,0.8,0.9,1.04,0.18,0.59,0.77,0.84,0.92,0.18,0.67,0.74,0.76,0.78
YKL085W,0.000153,0,0.86,0.94,0.52,0.97,0.48,0.83,0.96,0.93,0.89,0.87,0.43,0.81,0.49,0.02,-0.19,0.09,0.19,0.27,0.29,0.4,0.05,0.14,0.25,0.33,0.31,0.06,0.22,0.21,0.23,0.35
YKL096W,0,0,3.35,3.45,2.61,2.77,2.52,3.07,3.08,2.65,2.53,2.23,2.57,2.6,1.85,1.72,1.06,1,1.69,1.66,1.61,1.62,0.62,1.61,1.87,1.8,1.52,0.69,1.39,1.43,1.36,1.18
YKL142W,0,0,2.09,1.16,0.99,1.23,0.92,1.78,1.53,1.21,0.89,1.06,1.32,0.78,0.9,0.42,0.41,0.19,0.37,0.41,0.43,0.45,0.23,0.57,0.68,0.71,0.73,0.11,0.44,0.52,0.62,0.56
YKL150W,0,0,2.98,0.98,1.29,1.54,1.23,2.91,2.37,2,2.05,1.61,2.82,1.43,1.29,1.3,1.06,0.49,0.76,0.7,0.75,0.7,0.26,0.86,0.98,1.07,1.19,0.43,0.82,1.03,1,1
YKR046C,0,0,2.03,1.52,1.66,2.04,1.57,1.85,2.1,1.57,1.96,1.44,1.61,2.28,1.52,1.56,1.36,0.39,0.61,0.66,0.74,0.86,0.08,0.59,0.7,0.76,1,0.1,0.64,0.91,1.15,1
YLL026W,5E-06,0,2.62,0.63,0.01,0.27,0.39,2.69,1.78,0.61,0.39,0.6,1.85,0.97,-0.11,-0.41,-0.33,0.59,0.81,0.73,0.66,0.54,0.43,0.91,0.97,0.88,0.78,0.32,0.65,0.67,0.64,0.54
YML004C,0,0,2.53,0.99,0.59,0.65,0.44,2.49,2.28,1.02,1.04,0.86,2.5,1.17,0.67,0.47,0.32,0.5,0.72,0.69,0.68,0.71,0.4,0.95,0.96,0.98,0.95,0.47,0.91,0.66,0.72,0.79
YML070W,0,0,2.65,2.17,1.76,1.29,1.37,2.59,2.65,2.34,1.77,1.41,2.68,2.68,1.92,1.39,1.08,0.32,0.87,0.99,1.01,0.99,0.15,0.76,1.08,1.15,1.11,0.34,0.85,1.03,1.09,1.05
YML100W,0,0,5.01,3.51,3.26,3.6,2.91,4.84,4.35,3.81,3.87,3.03,4.18,3.36,2.38,2.58,1.86,0.89,1.22,1.24,1.27,1.35,0.36,1.28,1.49,1.54,1.52,0.5,1.29,1.5,1.56,1.52
YML128C,0,0,5.39,2.98,2.12,2.62,2.72,5.3,4.7,3.31,3.36,2.84,5.4,3.96,2.35,2.43,2.25,1.28,1.97,1.89,1.85,1.77,0.57,1.71,1.85,1.86,1.39,1.07,1.92,1.96,1.99,1.86
YML131W,0,0,4.02,2.09,1.52,1.4,1.57,4.23,3.58,2.5,2.06,1.77,4.07,3.02,2.13,1.66,1.83,0.7,1.16,1.06,1.04,1.01,0.13,0.72,0.74,0.74,0.92,0.42,0.94,0.81,0.84,0.89
YMR105C,0,0,4.83,2.93,2.72,3.14,2.3,4.7,4.47,3.86,3.86,2.66,4.35,3.41,2.53,2.75,1.85,1.14,1.98,1.98,2.07,1.93,0.69,1.97,2.24,2.35,2.16,0.68,1.28,1.36,1.47,1.37
YMR110C,0,0,1.61,0.7,0.67,0.62,0.5,1.85,1.15,1.04,0.94,0.62,1.86,0.84,0.76,0.71,0.57,0.09,0.4,0.31,0.38,0.29,0.21,0.43,0.49,0.42,0.52,0.26,0.35,0.32,0.34,0.31
YMR169C,0,0,5.62,3.63,1.84,2.2,2.04,5.61,5.12,3.39,2.8,2.13,5.58,4.78,2.63,2.31,1.97,1.85,2.69,2.54,2.38,2.07,0.71,2.23,2.39,2.26,1.88,1.14,2.48,2.44,2.34,2.04
YMR170C,0,0,4.7,1.36,0.83,0.76,1.07,4.8,4.26,2.69,1.98,1.38,4.7,2.22,1.55,1.19,1.33,0.22,0.45,0.47,0.52,0.47,0.05,0.32,0.5,0.55,0.76,0.32,0.31,0.55,0.68,0.66
YMR173W,0,0,1.68,1.95,1.74,1.72,1.44,1.91,1.93,1.84,1.86,1.46,2.11,2.62,2.13,2.04,1.22,0.54,0.88,1.04,1.11,1.07,0.21,0.86,1.2,1.43,1.59,0.41,0.91,1.11,1.35,1.3
YMR196W,0,0,3.7,2.58,1.85,2.06,1.59,3.44,3.33,2.79,2.44,1.88,3.4,2.61,1.75,1.47,1.18,0.48,1.2,1.31,1.26,1.41,0.28,0.87,0.98,1.08,1.15,0.31,0.72,0.77,0.88,0.76
YMR250W,0,0,4.26,2.83,2.52,2.92,2.43,4.31,4.08,3.43,3.29,2.73,3.98,3.17,2.23,2.31,1.78,0.74,1.35,1.44,1.43,1.68,0.61,1.4,1.65,1.78,1.97,0.7,1.67,1.6,1.66,1.78
YNL104C,0,0,-0.33,0.93,0.91,1.05,1,-0.41,0.69,0.92,0.7,0.73,-0.36,0.8,0.75,0.92,0.9,0.15,0.21,0.22,0.37,0.61,0.16,0.14,0.36,0.43,0.87,0.07,0.13,0.24,0.38,0.79
YNL134C,0,0,1.83,0.74,0.59,0.36,0.44,1.93,1.58,1.26,1.33,0.53,1.79,1.3,0.69,0.62,0.05,0.4,0.6,0.47,0.43,0.56,0.22,0.63,0.69,0.85,0.74,0.54,0.67,0.74,0.82,0.91
YNL160W,0,0,4.05,4.03,3.76,4.02,4.08,3.8,4.55,4.32,4.57,4.09,2.8,3.62,2.8,3.17,2.88,0.58,1.14,1.11,1.34,1.64,0.53,1.45,2.09,2.34,2.55,0.45,1.21,1.59,1.54,1.91
YNR001C,5E-06,0,1.38,0.5,1,0.96,0.52,1.74,1.28,1.31,1.58,0.99,1.38,0.47,0.31,0.81,0.24,0.2,0.28,0.23,0.38,0.38,0.09,0.32,0.3,0.36,0.52,0.23,0.28,0.37,0.41,0.42
YNR016C,0,0,-0.79,-0.59,-0.39,-0.47,-0.18,-0.59,-0.82,-0.52,-0.56,-0.43,-0.83,-0.71,-0.75,-0.57,-0.71,-0.08,-0.11,-0.17,-0.21,-0.39,-0.09,-0.13,-0.17,-0.23,-0.42,-0.08,-0.1,-0.1,-0.15,-0.31
YOL143C,0,0,1.96,2.06,1.93,1.21,0.92,1.14,1.4,1.61,1.71,0.61,0.89,0.79,1.91,1.51,1.04,0.14,0.44,0.78,0.93,0.82,0.16,0.45,0.65,0.88,1,0.17,0.44,0.73,0.96,1.1
YOL151W,0,0,4.66,2.77,2.41,2.34,2.47,4.75,4.32,2.96,2.76,2.61,4.32,3.3,2.5,2.36,2.05,1.47,2.08,2.09,2.08,2.05,0.67,1.7,1.8,1.84,1.56,0.63,1.47,1.52,1.61,1.48
YOR220W,0,0,3,0.98,0.86,0.93,0.69,3.45,1.4,1.09,1.27,1.01,3.21,1.26,1.09,1.1,0.9,0.52,0.7,0.6,0.59,0.51,0.44,0.77,0.79,0.66,0.76,0.39,0.57,0.47,0.49,0.49
YOR285W,2.3E-05,0,1.57,1.08,0.54,0.95,0.36,1.21,1.23,1.26,1.21,0.71,0.74,0.08,0.81,0.57,0.56,0.1,0.26,0.35,0.35,0.38,0.05,0.22,0.38,0.51,0.6,0.07,0.18,0.27,0.32,0.37
YOR317W,0,0,1.64,1.31,1.63,1.75,1.34,1.38,1.52,1.64,1.73,1.5,1.65,1.23,1.24,1.39,1.14,0.24,0.54,0.67,0.81,1.04,0.09,0.46,0.69,0.84,1.1,0.19,0.38,0.48,0.55,0.9
YPL004C,0,0,2.21,1.13,1.03,1.44,1.55,2.12,1.75,1.3,1.43,1.25,1.92,1.39,0.58,0.84,0.58,0.36,0.5,0.5,0.58,0.67,0.32,0.62,0.67,0.73,0.96,0.26,0.57,0.63,0.65,0.7
YPL154C,0,0,1.5,1.06,1.1,0.95,0.73,1.45,1.42,1.46,1.36,1.09,1.25,0.83,0.84,0.95,0.66,0.02,0.31,0.47,0.49,0.56,-0.1,0.2,0.5,0.6,0.52,0.06,0.16,0.33,0.37,0.37
