Factors,,,,,,,,,
,1,2,3,4,5,6,7,8,9
A,0:RLucI,0:RLucII,0:RLucC,0.25:RLucI,0.25:RLucII,0.25:RLucC,0.5:RLucI,0.5:RLucII,0.5:RLucC
B,0:RLucI,0:RLucII,0:RLucC,0.25:RLucI,0.25:RLucII,0.25:RLucC,0.5:RLucI,0.5:RLucII,0.5:RLucC
C,0:RLucI,0:RLucII,0:RLucC,0.25:RLucI,0.25:RLucII,0.25:RLucC,0.5:RLucI,0.5:RLucII,0.5:RLucC
D,0:RLucI,0:RLucII,0:RLucC,0.25:RLucI,0.25:RLucII,0.25:RLucC,0.5:RLucI,0.5:RLucII,0.5:RLucC
E,0:RLucI,0:RLucII,0:RLucC,0.25:RLucI,0.25:RLucII,0.25:RLucC,0.5:RLucI,0.5:RLucII,0.5:RLucC
F,0:RLucI,0:RLucII,0:RLucC,0.25:RLucI,0.25:RLucII,0.25:RLucC,0.5:RLucI,0.5:RLucII,0.5:RLucC
G,0:RLucI,0:RLucII,0:RLucC,0.25:RLucI,0.25:RLucII,0.25:RLucC,0.5:RLucI,0.5:RLucII,0.5:RLucC
H,0:RLucI,0:RLucII,0:RLucC,0.25:RLucI,0.25:RLucII,0.25:RLucC,0.5:RLucI,0.5:RLucII,0.5:RLucC
,,,,,,,,,
Firefly (Source: 161217_CHX_Fluc3),,,,,,,,,
,1,2,3,4,5,6,7,8,9
A,965041,240392,1374000,169404,212234,652139,142864,110509,634174
B,1449000,460368,1928000,113347,271050,1048000,172019,180807,305006
C,1073000,465972,1988000,267652,258288,794949,181773,35504,393771
D,831833,443193,1782000,241006,219629,1248000,138505,97172,282785
E,317150,457873,1702000,485389,255138,1540000,193824,132970,869291
F,707872,524233,1998000,292312,343870,1247000,373023,135211,816796
G,666604,456360,1893000,164065,210531,1185000,153595,195493,394272
H,855654,488712,1827000,340485,317231,979956,134289,130375,798528
,,,,,,,,,
Renilla (Source: 161217_CHX_Fluc3),,,,,,,,,
,1,2,3,4,5,6,7,8,9
A,25572,18711,54623,4438,7298,24936,6993,1865,13219
B,43738,36313,70928,4137,7573,31952,4891,3694,5544
C,27367,28256,93964,10807,7659,22555,5553,532,9442
D,22980,29796,68459,7757,9318,47541,3903,2242,5882
E,8688,33921,62009,19226,9229,53833,6088,2715,22481
F,13604,43087,102659,11751,8118,55284,16159,2313,19083
G,10359,44108,71484,9515,6009,36827,4609,4944,8827
H,21991,44044,64934,9585,12793,31213,5051,2698,26936
