Systematic Name,Standard Name,Qualifier a,Mean molecules per cell,Median molecules per cell,Coefficient of Variation,LU,PENG,KUL,LAW,LAHT,DGD,LEE2,THAK,NAG,PIC,WEB,TKA,BRE,DEN,MAZ,CHO,YOF,NEW,LEE,DAV,GHA
YCR073C,SSK22,Verified,123,123,76,,189,,,,,,,,,,,,,,,,,,,57
YEL070W,DSF1,Verified,125,125,,,,,,,,,,,,,,,,,,,,,,125
YIR039C,YPS6,Verified,125,125,,,,125,,,,,,,,,,,,,,,,,,
Q0065,AI4,Verified,128,128,77,,197,59,,,,,,,,,,,,,,,,,,
YPL202C,AFT2,Verified,492,139,146,,,20,,,139,,,,,,,1317,,,,,,,,
YOR033C,EXO1,Verified,276,140,126,,140,16,,,,,,,,,,,,,,,,,,672
YHR173C,YHR173C,Uncharacterized,149,149,,,,,,,,,,,,,,,,,,,,,,149
YLR087C,CSF1,Verified,253,153,87,546,86,153,,,426,,,,,55,,,,,,,,,,
YGR110W,CLD1,Verified,478,160,145,,1271,2,,,160,,,,,,,,,,,,,,,
YDR104C,SPO71,Verified,162,162,,,162,,,,,,,,,,,,,,,,,,,
YJR161C,COS5,Verified,351,163,115,,,76,,,,,,163,,,,,,,,,,,,815
YIL172C,IMA3,Verified,166,166,,,,,,,,,,,,,,,,,,,,,,166
YBR203W,COS111,Verified,174,174,,,,,,,,,,,,174,,,,,,,,,,
YCR096C,HMRA2,Verified,176,176,,,,176,,,,,,,,,,,,,,,,,,
YOL158C,ENB1,Verified,677,176,154,,,119,2237,,,,,125,,227,,,,,,,,,,
YFL054C,AQY3,Uncharacterized,182,182,121,,337,27,,,,,,,,,,,,,,,,,,
Q0115,BI3,Verified,183,183,,,183,,,,,,,,,,,,,,,,,,,
YPL268W,PLC1,Verified,188,188,138,,,4,,,373,,,,,,,,,,,,,,,
YMR100W,MUB1,Verified,235,193,99,,,9,,,,,,260,,547,,,,,,,,,,125
YDL109C,YDL109C,Uncharacterized,195,195,,,,,,,,,,,,,,,,,,,,,,195
YFL060C,SNO3,Verified,479,195,136,,,19,,,,,,,,,,1222,,,,,,,,195
YGL113W,SLD3,Verified,454,196,133,,,73,,,,,,,,266,,1350,,,,,,,,125
YOR137C,SIA1,Verified,522,206,138,,,13,,,206,,,,,,,1346,,,,,,,,
YJL083W,TAX4,Verified,207,207,129,,,18,,,,,,,,,,,,,,,,,,396
YNL172W,APC1,Verified,474,209,121,209,157,28,256,,1640,,,295,,204,,1302,,,,,,,,178
YPL230W,USV1,Verified,464,210,131,,,26,,,210,,,,,,,1157,,,,,,,,
YFR027W,ECO1,Verified,210,210,97,,354,66,,,,,,,,,,,,,,,,,,
YLR288C,MEC3,Verified,213,213,134,,,12,,,,,,,,,,,,,,,,,,414
YLL054C,YLL054C,Uncharacterized,211,216,56,,,71,,,,,,166,,266,,,,,,,,,,339
YHR184W,SSP1,Verified,216,216,136,425,,8,,,,,,,,,,,,,,,,,,
YDR332W,IRC3,Verified,182,218,62,,264,26,,,267,,,,,,,,,,,,,,,172
YPL164C,MLH3,Verified,478,220,130,,,27,,,,,,,,220,,1186,,,,,,,,
YKR098C,UBP11,Verified,220,220,134,,429,12,,,,,,,,,,,,,,,,,,
YFL062W,COS4,Verified,224,224,93,,,76,,,,,,371,,,,,,,,,,,,
YBR136W,MEC1,Verified,338,224,108,497,224,20,,,894,,,,,55,,,,,,,,,,
YBL005W,PDR3,Verified,583,225,140,,225,35,,,,,,,,473,,,,,,,,2016,,166
YOR208W,PTP2,Verified,443,231,123,,508,40,,,148,,,,,313,,1500,,,,,,,,149
YCR032W,BPH1,Verified,945,234,165,3272,383,39,,,,,,,,84,,,,,,,,,,
YOR129C,AFI1,Verified,787,235,145,,168,6,,,,,,,,235,,,,,,,,2756,,768
YBL014C,RRN6,Verified,542,237,136,,,4,,,,,,,,,,1385,,,,,,,,237
YPL158C,AIM44,Verified,681,238,115,,,,,,,,,,,220,,,,,1584,,,,,238
YMR111C,YMR111C,Verified,319,238,103,,681,38,,,,,,,,,,,,,,,,,,238
YDR522C,SPS2,Verified,238,238,,,,,,,,,,,,,,,,,,,,,,238
YFL053W,DAK2,Verified,246,246,,,,,,246,,,,,,,,,,,,,,,,
YDL194W,SNF3,Verified,249,249,,,249,,,,,,,,,,,,,,,,,,,
YML099C,ARG81,Verified,521,251,109,,258,21,244,,860,,,,,220,,1525,,,,,,,,
YNR059W,MNT4,Verified,252,252,,,,252,,,,,,,,,,,,,,,,,,
YCL058W-A,ADF1,Verified,255,255,3,,,249,,,,,,262,,,,,,,,,,,,
YDR179W-A,NVJ3,Verified,423,259,117,,,8,,,,,,108,,490,,1251,,,,,,,,259
YLR049C,YLR049C,Uncharacterized,259,259,44,,,,,,179,,,,,,,,,,,,,,,339
YKL072W,STB6,Verified,635,261,111,,311,53,,,164,,,,,,,1574,,,1495,,,,,211
YKR009C,FOX2,Verified,1192,266,179,208,466,20,,,,,5000,,,266,,,,,,,,,,
YOR172W,YRM1,Verified,546,267,122,,123,,,,,,,,,409,,,,,1526,,,,,125
YHR079C,IRE1,Verified,716,267,97,,267,60,87,,,,1305,,,1350,,,,,1680,,,,,259
YPL174C,NIP100,Verified,442,268,118,,,30,,,,,,,,297,,1202,,,,,,,,238
YLR067C,PET309,Verified,629,271,104,,198,22,,,271,,,,,,,1492,,,,,,,,1160
Q0055,AI2,Verified,287,271,101,,271,5,,,583,,,,,,,,,,,,,,,
YLR368W,MDM30,Verified,222,271,52,,271,,,,91,,,304,,,,,,,,,,,,
YER038C,KRE29,Verified,484,273,122,,,35,,,264,,,,,282,,1354,,,,,,,,
YMR176W,ECM5,Verified,487,276,122,,292,38,,,1359,,,,,,,,,,,,,,,259
YPR095C,SYT1,Verified,455,279,108,1315,242,80,,,,,,,,360,,,,,,,,,,279
YJL222W,VTH2,Verified,1149,279,112,253,,108,,,,,2526,2581,,,,,,,,,,,,279
YKR101W,SIR1,Verified,504,281,114,,281,74,,,,,,,,,,1157,,,,,,,,
YPL034W,YPL034W,Uncharacterized,761,286,116,,,214,,,286,,,,,1783,,,,,,,,,,
YPL242C,IQG1,Verified,415,289,83,929,215,23,,,745,,,,,298,,,,,,,,,,279
YNL008C,ASI3,Verified,575,289,132,,,28,,,,,,390,,189,,,,,1694,,,,,
YBL089W,AVT5,Verified,294,294,,,,,,,,,,294,,,,,,,,,,,,
YIR029W,DAL2,Verified,494,297,121,,1163,22,,,,,,,,297,,,,,,,,,,
YLR224W,UCC1,Verified,299,299,137,,,9,,,,,,,,589,,,,,,,,,,
YLR451W,LEU3,Verified,830,299,98,,264,40,206,,1207,,,299,,,2262,1457,,,1611,,,,,125
YLR024C,UBR2,Verified,388,301,120,,271,13,,,1286,,,330,,377,,,,,,,,,,49
YBR156C,SLI15,Verified,323,302,75,284,638,49,,,,,,,,,,,,,,,,,,319
YOL001W,PHO80,Verified,786,302,135,,2001,55,,,,,,302,,,,,,,,,,,,
YGR288W,MAL13,Verified,492,302,118,,,29,,,,,,302,,,,1145,,,,,,,,
YHR150W,PEX28,Verified,487,308,111,377,,58,,,,,,238,,,,1276,,,,,,,,
YHR178W,STB5,Verified,448,310,109,,439,9,,,341,,,,,220,,1399,,,,,,,,279
YDL013W,SLX5,Verified,518,312,123,,312,7,,,,,,,,,,1235,,,,,,,,
YCL004W,PGS1,Verified,381,313,108,,823,8,,,,,,,,313,,,,,,,,,,
YLR014C,PPR1,Verified,478,317,87,,317,133,,,491,,,,,266,,1182,,,,,,,,
YOL119C,MCH4,Verified,1937,317,157,5440,,53,,,317,,,,,,,,,,,,,,,
YMR001C,CDC5,Verified,947,319,137,,402,19,,,179,,,3367,,235,,,,,,,,,,1480
YMR179W,SPT21,Verified,319,319,26,,261,,,,,,,,,376,,,,,,,,,,
YDL220C,CDC13,Verified,702,319,107,,894,88,,,,,,,,277,,,,,,,,1933,,319
YLR381W,CTF3,Verified,497,319,117,,,25,,,,,,,,,,1146,,,,,,,,319
YGR096W,TPC1,Verified,319,319,,,319,,,,,,,,,,,,,,,,,,,
YHL028W,WSC4,Verified,320,320,141,,,2,,,,,,,,639,,,,,,,,,,
YLR352W,YLR352W,Uncharacterized,518,322,82,322,1297,219,,,461,,,906,,298,,,,,,,,,,125
YKR064W,OAF3,Verified,479,326,112,,516,26,,,,,,,,326,,1380,,,,,,,,149
YDR085C,AFR1,Verified,329,329,,,,,,,329,,,,,,,,,,,,,,,
YCR039C,MATALPHA2,Verified,333,333,67,,,176,,,,,,491,,,,,,,,,,,,
YKL125W,RRN3,Verified,469,334,118,,,23,,,530,,,42,,599,,,,,1483,,,,,138
YOL122C,SMF1,Verified,270,338,65,,363,10,,,393,,,,,313,,,,,,,,,,
YPR119W,CLB2,Verified,569,339,97,599,,99,,,1501,,,308,,,,,,,,,,,,339
YDL176W,YDL176W,Verified,719,339,130,,,35,,,,,,1783,,,,,,,,,,,,339
YDR282C,MRX10,Verified,1845,339,155,5145,,50,,,,,,339,,,,,,,,,,,,
YDR421W,ARO80,Verified,482,345,78,,824,19,,,264,,,470,,345,,1134,,,,,,,,319
YOR071C,NRT1,Verified,543,345,95,,973,16,,,184,,,,,345,,1200,,,,,,,,
YPR026W,ATH1,Verified,474,345,86,,977,56,,,826,,345,165,,,,,,,,,,,,
YNL294C,RIM21,Verified,348,348,,,,,,,,,,348,,,,,,,,,,,,
YPL280W,HSP32,Verified,245,350,81,,,15,368,,,,,350,,,,,,,,,,,,
YOR391C,HSP33,Verified,245,350,81,,,15,368,,,,,350,,,,,,,,,,,,
YNL325C,FIG4,Verified,457,350,100,,381,42,,,,,,270,,360,,1353,,,,,,,,339
YBR114W,RAD16,Verified,434,353,110,348,1566,47,467,,227,,,97,,360,,,,,,,,,,358
Q0050,AI1,Verified,314,353,74,,234,22,,,472,,,528,,,,,,,,,,,,
YMR322C,SNO4,Verified,481,359,104,,,15,368,,,,,350,,,,1191,,,,,,,,
YLR446W,YLR446W,Uncharacterized,593,361,116,,,51,,,361,,,,,1367,,,,,,,,,,
YJR021C,REC107,Verified,362,362,113,650,,,,,74,,,,,,,,,,,,,,,
YBR138C,YBR138C,Uncharacterized,366,366,66,,536,,,,,,,,,,,,,,,,,,,195
