Systematic Name,Standard Name,Qualifier a,Mean molecules per cell,Median molecules per cell,Coefficient of Variation,LU,PENG,KUL,LAW,LAHT,DGD,LEE2,THAK,NAG,PIC,WEB,TKA,BRE,DEN,MAZ,CHO,YOF,NEW,LEE,DAV,GHA
YPR071W,YPR071W,Uncharacterized,1158,1631,76,,,,,,,,,145,,,,1698,,,1631,,,,,
YGR125W,YGR125W,Uncharacterized,1694,1631,53,581,1545,297,,,1753,,1778,2310,,1631,,1576,,,3722,2021,,,,1420
YLR103C,CDC45,Verified,1317,1632,80,,450,38,,,,,,77,,,,1693,,,1571,,,1878,3101,1730
YPL007C,TFC8,Verified,1882,1632,62,,1335,252,,,,,1470,1622,4580,1632,,1663,,,2315,,,,,2070
YGR274C,TAF1,Verified,3532,1633,127,1338,1414,316,,,4526,,4219,3812,16429,1594,,2067,,,1633,,,,,1500
YIL158W,AIM20,Verified,1145,1633,86,,,15,,,,,,,,,,1633,,,1787,,,,,
YOR246C,ENV9,Verified,1700,1634,54,,1928,460,,,1040,,,2288,,2341,,1341,,,,,,,3236,967
YER033C,ZRG8,Verified,1376,1635,54,1910,2200,32,,,1635,,,1705,,776,,1372,,,,,,,,
YGL089C,MF(ALPHA)2,Verified,1636,1636,29,,,,,,,,,,,,,1299,,,,1973,,,,
YIL061C,SNP1,Verified,1711,1637,65,,3754,271,,,1577,,,,,2202,,1803,,,1637,,,,,736
YOR373W,NUD1,Verified,1573,1638,54,2546,1638,207,,,2875,,,706,,724,2411,1600,,,1797,,,1909,,892
YOR147W,MDM32,Verified,3182,1638,130,,,12,,,,,,,,,,1436,,2423,1638,,,,,10400
YPR047W,MSF1,Verified,1929,1638,75,901,1034,288,485,1154,2990,,1691,5695,,2642,,1612,,,1638,,,,3141,1800
YJL141C,YAK1,Verified,2722,1639,94,1746,5243,637,886,,2076,1309,798,4503,8485,1532,,,,,,,,,,
YOR202W,HIS3,Verified,6707,1640,157,,,,,22509,,,,,,1041,,1179,,,,,,,,2100
YLR138W,NHA1,Verified,1710,1641,59,,929,140,,,2350,,,807,,556,,,,2987,2385,1641,,2418,3121,1480
YAR028W,YAR028W,Uncharacterized,1671,1641,71,,1641,156,,,1728,,,381,,1171,,1504,,,2378,,,,4240,1840
YEL062W,NPR2,Verified,1566,1643,79,,1973,171,,,2197,,,1643,,916,,,3741,,,,,,,319
YOL103W,ITR2,Verified,1393,1643,68,,2583,33,,,1643,,2361,,,956,,,,,1707,,,,,468
YBR060C,ORC2,Verified,1617,1645,52,,754,133,,,1986,,,1590,,1376,,1445,3372,,1811,,,2002,,1700
YPR066W,UBA3,Verified,1727,1646,75,2986,1646,176,,,,,,,,,,,,,,,,,3075,752
YDL045W-A,MRP10,Verified,1759,1646,66,,,404,1668,,,,2318,1548,,1625,2349,,,3900,,,,,,259
YGL128C,CWC23,Verified,1727,1647,65,,1931,4,,,1210,,,,,2755,,1364,,,,,,,3101,
YEL009C,GCN4,Verified,1937,1648,86,4615,,17,,,,,,639,,,,1560,,3057,1735,,,,,
YLR086W,SMC4,Verified,1673,1650,61,1781,1564,251,,,3215,1319,3343,1650,,562,2423,,,,1718,,,,,573
YHR110W,ERP5,Verified,1847,1651,48,,1389,601,,3007,852,,,1552,,2848,,1748,,3168,1645,1656,,,,
YJR008W,MHO1,Verified,1693,1651,69,,3131,394,,,1052,,3573,1751,,1697,,1606,,,,,,,,339
YPR094W,RDS3,Verified,1725,1651,24,,2016,1606,,,,,,2210,,1651,,1141,,,,,,,,
YMR289W,ABZ2,Verified,1825,1654,63,,1804,253,,3279,1549,,1649,3635,,1658,,,,,,,,,,768
YKL012W,PRP40,Verified,1644,1656,64,,1496,372,,,3035,,587,3323,,534,2099,1656,,,1695,,,,,
YJL059W,YHC3,Verified,1656,1656,,,,,,,,,,,,,,,,,,1656,,,,
YKL061W,BLI1,Verified,2281,1658,86,,6806,626,,,1658,,,356,,,,1366,,2606,2362,,,,3510,1240
YBL090W,MRP21,Verified,2407,1662,91,,1798,395,1662,806,,,6365,4552,,,,,,,,,,,,1270
YJL073W,JEM1,Verified,1893,1663,74,5082,1355,154,444,,1700,,,2044,,2104,,1243,,,,1625,,,,3180
YBR119W,MUD1,Verified,1871,1664,59,,3607,548,875,,782,,,1686,,1664,,,,,1626,,,,3101,2950
YMR077C,VPS20,Verified,2880,1665,101,,9393,126,,,1095,,,2076,,5334,,1665,,,1530,,,,3761,937
YNL164C,IBD2,Verified,1652,1665,54,,1665,177,,,1758,,,1337,,,,1785,,,1633,,,,3209,
YMR097C,MTG1,Verified,1738,1665,54,,1206,85,,,1700,,,1223,,2973,,,,2589,,,,2497,,1630
YGR046W,TAM41,Verified,1487,1666,64,,1091,109,,,,,,1810,,,,2179,,2325,1522,,,2667,,195
YKR021W,ALY1,Verified,1635,1667,56,,1699,170,,,1192,,2274,1406,,824,2618,1635,3408,,1966,,,2013,,414
YDR034C,LYS14,Verified,1705,1667,100,,1794,108,,,1667,,,989,5852,508,,1982,,,1994,,,,,450
YBR107C,IML3,Verified,1940,1671,91,,2139,,,,,,,,,,,1204,4293,,,,,,,125
YMR247W-A,YMR247W-A,Uncharacterized,1672,1672,,,,,,,,,,,,,,,,,,1672,,,,
YAL014C,SYN8,Verified,2034,1672,64,,2395,1022,875,1500,1540,,2605,1183,,5615,,,,,1856,1672,,2108,,
YPL171C,OYE3,Verified,2340,1672,94,,1617,,,,,,5529,485,,,,1728,,,,,,,,
YLR361C,DCR2,Verified,1723,1672,78,658,963,253,,,4287,,,1672,,2284,,,,,,,,,,1940
YDR244W,PEX5,Verified,1705,1677,62,545,1555,223,,,3420,,,1345,,919,,1834,,,1800,3336,,,,2070
YLR306W,UBC12,Verified,1809,1679,47,,1679,591,,,,2362,,,,2801,,1612,,,,,,,,
YPR002W,PDH1,Verified,4317,1680,188,,898,137,,25798,1870,,3135,1602,,1005,,1680,,,,,,,,2730
YBR163W,EXO5,Verified,1767,1680,67,2666,1940,9,,,,,,,,,,1172,3393,,,,,,,1420
YBR158W,AMN1,Verified,1607,1682,79,3041,,22,,,,,,,,,,1345,,,,,,,,2020
YGR206W,MVB12,Verified,2755,1683,127,,12276,307,,,,1545,,445,,3342,2397,1631,,,1736,,,,3121,752
YLR385C,SWC7,Verified,1796,1684,84,,,204,,,994,,,,,1684,,,,,,1861,,,,4240
YGL237C,HAP2,Verified,1629,1685,45,,1831,194,,,1698,,,1123,,1673,2593,,,2309,1612,,,,,
YJR056C,YJR056C,Verified,1675,1685,13,,,,,,,,,,,,,1685,,,1449,,,,,1890
YNL165W,YNL165W,Uncharacterized,1686,1686,114,3044,,,,,,,,,,329,,,,,,,,,,
YDR110W,FOB1,Verified,1734,1687,62,,2083,252,,,912,,,1004,,755,2856,1863,3824,,2283,,,,,1510
YNL097C,PHO23,Verified,1786,1688,59,764,1374,233,,,1501,1688,,1061,,572,2302,2207,,2561,1843,,,,3860,3250
YPL005W,AEP3,Verified,1159,1688,84,,,30,,,,,,,,,,,,,1688,,,,,1760
YOR079C,ATX2,Verified,1688,1688,,,,,,,,,,,,,,,,,,1688,,,,
YNL145W,MFA2,Verified,1688,1688,,,,,,,,,,,,,,,,,,1688,,,,
YPR194C,OPT2,Verified,1688,1688,,,,,,,,,,,,,,,,,,1688,,,,
YMR268C,PRP24,Verified,1854,1688,79,,,227,,,,,,2821,,482,,1688,3856,,,,,,3236,672
YDR140W,MTQ2,Verified,1879,1689,64,,1689,309,,,,,,941,,3386,,1143,,,2292,,,,,3390
YAR027W,UIP3,Verified,2610,1690,82,,1609,740,,,2112,,,1556,,7848,,1358,3409,,,,,,3168,1690
YDR219C,MFB1,Verified,1536,1690,53,,1870,89,,,2622,,,1630,,392,2222,1945,,,1690,,,,,1360
YNL250W,RAD50,Verified,2042,1691,82,,893,433,,,6078,,,3062,2790,720,2234,1832,,,1551,,,,,830
YDR067C,OCA6,Uncharacterized,2052,1692,67,,3341,700,,,1354,,,1136,5152,1336,2051,1692,,,1709,,,,,
YLR102C,APC9,Verified,8076,1694,143,,1694,,,,,,,,21388,,,1146,,,,,,,,
YKR020W,VPS51,Verified,3220,1696,159,,18363,337,,,3498,,2778,1696,,1205,,1413,,2498,1451,1861,,,,319
YGL079W,KXD1,Verified,2307,1697,88,,6692,25,,,,,,797,,,,1679,,,1715,,,2572,3345,1630
YNL311C,SKP2,Verified,1568,1698,79,,2084,146,,,,,,3371,,515,,1698,,,2727,,,,,432
YFR042W,KEG1,Verified,1699,1699,2,,,,,,,,,,,1679,,,,,,1719,,,,
YMR132C,JLP2,Uncharacterized,1935,1700,56,,,344,,,839,,,2772,,1469,,1551,,,1700,,,1915,3761,3060
YNL326C,PFA3,Verified,1707,1701,22,,,,,,,,,,,1488,,1299,,,1913,,,,,2130
YNL053W,MSG5,Verified,1651,1702,62,1806,506,,,,469,,,,,,2150,1702,3424,2623,1641,,,,,538
YML053C,YML053C,Uncharacterized,1804,1702,67,,,,,,,,,,,,,1702,,,,,,,3054,656
YPL132W,COX11,Verified,1902,1702,73,,1059,422,,937,,,2437,4213,,2345,,,,,,,,,,
YBR219C,YBR219C,Uncharacterized,1703,1703,,,,,,,,,,,,,,,,,,1703,,,,
YBR225W,YBR225W,Uncharacterized,1666,1704,55,,1981,224,,,1628,,913,2844,,1481,2115,,,,1779,,,3071,,623
YPL138C,SPP1,Verified,1494,1704,35,,983,449,,,1914,,,1485,,1844,,1868,,,1728,,,,,1680
YAR008W,SEN34,Verified,1806,1704,37,,,1273,,,1358,,,2933,,1763,,1704,,,,,,,,
YGR268C,HUA1,Verified,1487,1704,71,,1632,85,,,,,,480,,,,1777,,,1941,,,,3008,
YNL221C,POP1,Verified,1799,1705,58,332,1729,354,,,2680,3606,1703,2572,,1707,,1379,,,1475,,,,3209,846
YCR026C,NPP1,Verified,1621,1705,81,,288,42,,,2297,,748,2851,,1705,,,,,,,,,,3420
YMR104C,YPK2,Verified,2866,1708,110,,10705,580,329,4785,2047,,6014,825,,1162,,1708,,,2065,,,,,1310
YOR308C,SNU66,Verified,1543,1709,52,,2857,211,,,1341,,,1709,,1156,,1749,,,1779,,,,,
YNR062C,YNR062C,Uncharacterized,1709,1709,,1709,,,,,,,,,,,,,,,,,,,,
YLR152C,YLR152C,Uncharacterized,1711,1711,,,1711,,,,,,,,,,,,,,,,,,,
YPL087W,YDC1,Verified,1606,1712,62,,1015,29,,,,,,,,1445,,,,2769,1978,,,2401,,
YMR258C,ROY1,Verified,2382,1714,69,,1416,206,,,617,,5017,3599,1630,2291,,1484,5149,,1714,,,,,3080
YHR143W,DSE2,Verified,1715,1715,52,,,,,,,,,1080,,,,,,,,2350,,,,
YCR095C,OCA4,Uncharacterized,1962,1715,82,,2869,302,,,1012,,721,2684,,457,,2532,,,1715,,,,,5370
YOR036W,PEP12,Verified,2291,1715,76,,5008,670,,,1375,,902,1767,5034,1664,,,,,,1909,,,,
YDR111C,ALT2,Uncharacterized,1869,1716,68,,198,130,,,1373,,,1678,1754,1504,,2443,4165,,,,,1972,,3480
YDR066C,RTR2,Verified,1971,1718,55,,2622,,,,,,,443,,,,1545,3414,,1718,,,,3008,1050
YGR047C,TFC4,Verified,1761,1718,57,,1165,157,,,2424,,,1134,1517,1813,,1774,3635,,1718,,,3154,,876
YOL028C,YAP7,Verified,1472,1719,60,,,,,,328,,,542,,,,1874,,2648,1747,,,,,1690
YDR410C,STE14,Verified,1508,1719,58,,,125,,,,,,1135,,793,,1976,,,2120,1719,,,,2690
YDR005C,MAF1,Verified,1898,1720,69,,5199,231,,,895,,2089,1604,,987,2158,1212,,2778,2008,,,,,1720
YNR004W,SWM2,Verified,1479,1720,53,,,182,,,,,,,,2295,,1730,,,1468,,,,,1720
YHR115C,DMA1,Verified,2045,1722,70,,2478,183,,,1090,1722,,1355,5271,2029,,1485,,,,,,,,2790
YJL110C,GZF3,Verified,1530,1722,83,,2544,53,98,,2279,,,,,1010,,1969,3774,,1722,,,,,319
YHR040W,BCD1,Verified,3932,1723,174,,3419,488,,,1562,2019,23306,1558,,769,,1884,,,1518,,,,,2800
YPL244C,HUT1,Verified,2004,1725,48,,3077,,,,,,,,,1725,,1209,,,,,,,,
YDL036C,PUS9,Verified,1605,1727,56,,,301,,,2625,,,1727,,1908,,1431,,,,2602,,,,639
YKL194C,MST1,Verified,2241,1727,66,,2031,800,,1226,1424,,,4756,,4277,,,,,,,,2175,,1240
YML006C,GIS4,Verified,2468,1728,131,,1111,95,,,1869,,,2014,,933,,1728,3485,,1671,2217,,,11799,222
YGR144W,THI4,Verified,3946,1728,123,,1182,,,,,11181,2274,,,,,1146,,,,,,,,
YNL152W,INN1,Verified,1605,1728,52,,1811,93,,,,,,1095,,2488,,1554,,2464,1728,,,,,
YGL197W,MDS3,Verified,1713,1729,65,159,2006,226,,,2937,3185,,3142,,1368,,1729,,,1499,,,2196,,396
YHR186C,KOG1,Verified,1974,1729,59,,2611,350,528,,1850,3341,1661,2966,,1371,,1357,,4350,1509,1797,,,,
YDR425W,SNX41,Verified,1709,1729,68,,1151,367,,,196,,356,1331,,1659,2163,1885,3982,,2183,,,,3441,1800
YDL101C,DUN1,Verified,2222,1729,55,,1664,258,,759,3692,1723,,3785,,3570,2188,1600,,,1729,,,,,3480
YDR151C,CTH1,Verified,1730,1730,,,,,,,,,,,,,,1730,,,,,,,,
YCR033W,SNT1,Verified,1451,1730,53,,1158,238,1058,,2067,,,2122,,2126,2165,1730,,,,,,,,396
YDR075W,PPH3,Verified,1673,1731,56,,1663,275,777,,1291,,,1731,,490,2229,2032,,,1817,,,,3256,2840
YGL139W,FLC3,Verified,1643,1732,76,,1512,160,,,3416,,,2477,,341,,,,,1952,,,,,
YJR149W,YJR149W,Uncharacterized,1578,1732,67,,,,,,,,1732,1040,,,,1924,,,,,,3022,,172
YOR377W,ATF1,Verified,1800,1734,60,,,183,,,754,1592,2403,1159,,3786,,1218,,,,1877,,,3035,1990
YMR272W-B,YMR272W-B,Uncharacterized,1734,1734,,,,,,,,,,,,,,,,,,1734,,,,
YPL229W,YPL229W,Uncharacterized,1573,1734,32,,1180,,,,,,,,,,,1922,,,1734,,,2108,,922
YOR337W,TEA1,Verified,1440,1735,52,1735,2037,55,,,1648,,,,,,,1876,,,1989,,,,,736
YPL191C,YPL191C,Verified,1546,1736,53,,534,,,,748,,,934,,1041,,1736,,,1954,1750,,,3168,2050
YJR050W,ISY1,Verified,1532,1737,48,,2049,85,,,1169,,,1091,,2402,,1669,,,1805,,,,,1990
YOR233W,KIN4,Verified,1500,1740,57,,1044,298,,,2389,2135,,2390,,1315,,2049,,,1740,,,,,143
YBL021C,HAP3,Verified,1673,1741,53,,1685,113,,,,,,,,,,1412,,2520,1796,,,,,2510
YJL031C,BET4,Verified,1880,1743,44,,1509,1201,,734,3027,1977,1379,2305,,2906,,,,,,,,,,
YNL116W,DMA2,Verified,2754,1743,79,,1442,353,,,,,,1737,6455,5656,,1515,,,,,,,3121,1750
YPR105C,COG4,Verified,2208,1744,79,310,2524,391,,595,4007,,3798,5513,,1868,,1453,,,,,,,,1620
YDR532C,KRE28,Verified,1745,1745,69,,656,91,,,1769,,,2868,,880,,1745,3698,2315,1523,,,,3277,377
YBR238C,YBR238C,Verified,2040,1748,95,451,845,140,,,1606,,7449,560,,2240,,1890,3406,,1584,,,2226,,2080
YMR316W,DIA1,Verified,2016,1748,65,,2027,3945,,,,,,773,,3142,,1470,,,,,,,,736
YPL193W,RSA1,Verified,1600,1749,72,,2140,340,,,1864,2716,,1077,,572,,1749,3679,,,,,,,259
YPL097W,MSY1,Verified,1887,1750,83,481,1110,314,1271,2143,526,,,2058,6301,2772,2658,2154,,,1750,,,,,996
YDL175C,AIR2,Verified,2053,1750,73,,5813,352,,,1926,,1117,1571,,1177,,2018,,,1700,,,,3054,1800
YOR154W,SLP1,Verified,1688,1750,62,457,,2660,,,426,,,,,,,1406,,,1864,1750,,,,3250
YPL180W,TCO89,Verified,2016,1750,83,,4207,326,,,4167,,869,1488,4986,484,,1837,,,1819,1750,,,,243
YKR011C,YKR011C,Verified,2179,1750,59,,3806,,,,,,,581,,,,1750,,,1607,,,,,3150
YIL092W,YIL092W,Uncharacterized,1772,1751,92,2829,,,,,,,,,,673,,,,,,,,,3482,105
YPR162C,ORC4,Verified,4703,1752,191,26860,1132,187,,,2296,,,1334,,2497,,1147,,,,,,,,2170
YKR099W,BAS1,Verified,1507,1754,64,,2282,144,,,2151,,,2810,,303,,1762,,,1746,,,,,861
YBR231C,SWC5,Verified,1653,1754,53,,3299,199,,,1513,,965,1880,,793,2461,1912,,,1829,,,,,1680
YCL024W,KCC4,Verified,1379,1755,64,,1988,111,,,2360,,,1755,,771,,,,,,,,2128,,538
YGR198W,YPP1,Verified,2053,1755,56,,1256,379,877,,1853,3419,4531,3071,,2432,,1946,,,1572,1656,,,,1640
YNL065W,AQR1,Verified,1762,1755,83,,715,20,,,1838,,,,,250,,2757,,,4436,1672,,2404,,
YGR104C,SRB5,Verified,2117,1756,66,,4632,233,,,,,,756,,2869,2894,1756,,,1715,,,,3189,1010
YPR166C,MRP2,Verified,1701,1756,68,,1756,81,,,,,,2937,2642,1090,,,,,,,,,,
YLR254C,NDL1,Verified,1902,1756,20,,,,,,,,,,,,,1728,,2547,1756,,,1941,,1540
YKL078W,DHR2,Verified,1734,1758,58,,556,450,,,1758,,,2857,,3096,,2507,,,1478,,,2185,,721
YKL017C,HCS1,Verified,1727,1758,53,557,1934,384,,,2359,,2910,1743,,1426,,,,,1774,,,,3141,1040
YBL067C,UBP13,Verified,1826,1759,79,,2917,446,444,,4109,,1661,1857,,3049,,,,,,,,,,125
YKL055C,OAR1,Verified,4717,1760,181,3132,2058,84,,,679,,,,23907,,,1399,,,,,,,,1760
YBR221W-A,YBR221W-A,Uncharacterized,1761,1761,,,,,,,,,,,1761,,,,,,,,,,,
YLR144C,ACF2,Verified,1733,1766,49,2490,2771,376,,,1012,,,1636,,737,,2298,,2690,1896,,,,,1420
YDR103W,STE5,Verified,1482,1766,70,1766,737,56,,,196,,,1321,,2027,,1945,3396,,,,,,,1900
YDR490C,PKH1,Verified,1728,1767,63,1767,3985,221,,,2126,2169,553,2123,,1345,,1262,,,,,,,,
YDR316W,OMS1,Verified,1825,1768,102,,580,432,,,2514,,1887,6291,,376,2073,,,,1768,,,,,504
YOR077W,RTS2,Verified,2035,1768,62,,1497,198,,,,,1259,,,1131,2674,2638,,2558,1768,,,,,4590
YKR036C,CAF4,Verified,1534,1771,40,,1945,248,,,1576,,1887,1843,,1700,,1842,,,2071,1641,,,,589
YDR080W,VPS41,Verified,1657,1771,52,,761,311,,737,2792,,1970,2097,,1721,,1771,,,1826,,,,3075,1170
YIL131C,FKH1,Verified,2081,1771,62,,1190,521,711,,1771,,,2662,3515,4411,,,,,,,,2227,,1720
YOR244W,ESA1,Verified,1854,1772,56,,1772,256,,,1627,,,1162,,655,2082,2645,3479,,2220,,,,3324,1170
YKL018C-A,YKL018C-A,Uncharacterized,1792,1772,69,,,508,,,1772,,,2034,,,,1163,3652,,,,,,3054,358
YBR179C,FZO1,Verified,1780,1772,44,,1829,189,,,2483,,,2894,,1434,2136,1707,,2399,1715,,,,,1010
YKL203C,TOR2,Verified,1896,1773,69,4524,693,202,,,2257,2545,1401,1836,,1711,,,,,,,,,,
YCR018C,SRD1,Verified,1777,1777,26,,,,,,,,,,,,,,,,1453,,,,,2100
YLR298C,YHC1,Verified,2215,1777,75,,1824,709,,1730,6341,,3312,1469,,539,,,,2426,1662,,,,,2140
YOR297C,TIM18,Verified,2156,1778,62,,3162,203,1778,,,,1227,2890,,1267,,1290,,3148,,,,,,4440
YIR021W,MRS1,Verified,1946,1778,75,,1704,252,,,720,,986,1778,,2257,,1912,,2662,,,,,,5240
YNL320W,YNL320W,Uncharacterized,1775,1779,60,,3343,645,,,,,2183,1538,,2956,,1254,,,,2021,,,,259
YKR031C,SPO14,Verified,1654,1781,76,1108,1121,148,,,3993,,1800,3281,,450,2534,1781,,,1931,,,,,49
YDL001W,RMD1,Verified,1923,1782,46,,1439,296,,,1584,,,1766,,2381,2832,,,3491,2614,1782,,2022,,952
YGL259W,YPS5,Uncharacterized,1782,1782,,,,,,,,,,,,,,,,,,1782,,,,
YDR422C,SIP1,Verified,2052,1782,67,,4320,120,,,1878,,,,,1218,2357,1317,3964,,1686,,,,3035,623
YDR420W,HKR1,Verified,1783,1783,37,,,,,,,,,,,,,1316,,,,2250,,,,
YHR090C,YNG2,Verified,1615,1783,68,,1047,39,,,,,,,,673,,2032,,2520,1783,,,,3209,
YLR417W,VPS36,Verified,1738,1784,82,,,103,278,,2220,,,409,,1355,,1717,5040,,1851,,,1934,,2470
YER169W,RPH1,Verified,2117,1784,59,4797,2987,480,,,2490,,,1448,,1235,,1784,,,1604,,,,,2230
YMR135C,GID8,Verified,2540,1784,78,,5964,1298,1119,,3575,,858,2301,,585,2169,1711,6316,,1784,,,4696,,639
YLR006C,SSK1,Verified,2127,1790,65,4863,3824,311,,,1569,,,1514,,884,2221,,,,2010,,,2872,,1200
YMR069W,NAT4,Verified,1986,1792,40,,1284,,,,,,,,,,,2039,,,1545,,,,3075,
YAL032C,PRP45,Verified,1846,1792,46,,2532,183,,,3258,,,1482,,1454,2231,2014,,,1792,,,,,1670
YIL009C-A,EST3,Verified,1792,1792,49,,,,,,,,,,,2410,,1174,,,,,,,,
YBR264C,YPT10,Verified,2386,1792,67,,6073,1096,928,,2795,,3953,2836,,1755,,1237,,,,1829,,,,1360
YPL151C,PRP46,Verified,4249,1793,203,30133,1042,228,658,,2510,,,1792,,1846,,1793,,,1829,,,,3141,1770
YBR093C,PHO5,Verified,3750,1793,100,,,1883,,,,8560,2865,1512,10804,1704,,,,,,1564,,,,1110
YHR172W,SPC97,Verified,1735,1794,54,,1858,285,,,2172,,,1625,,687,,1417,3548,,1794,,,,,2230
YAL053W,FLC2,Verified,2787,1797,84,,4248,293,,,3324,,,6152,6313,808,,,,,1732,1797,,,,414
YOL048C,RRT8,Verified,2165,1797,63,,,325,,,,,,,,,,1753,,3916,,1797,,,3035,
YOR075W,UFE1,Verified,2090,1797,73,,2165,600,,,605,6003,1980,1758,,724,,,,2440,1712,1797,,,3209,
YIL077C,YIL077C,Uncharacterized,1846,1798,53,,3665,153,,,1798,,,2094,,,,1647,,2309,1643,,,2378,,922
YPL045W,VPS16,Verified,1943,1798,62,4333,1640,277,,,776,,869,2945,,1455,,2075,3685,,2005,1957,,,,1300
YLR390W,ECM19,Verified,3298,1798,142,,13753,112,,,,,2793,959,,,,1798,,,1782,,,,,1890
YML019W,OST6,Verified,1708,1800,37,,1738,849,,,1862,1385,1892,1956,,2905,,,,,,,,,,1080
YPL256C,CLN2,Verified,1801,1801,42,2332,,,,,,,,,,,,,,,,,,,,1270
YER040W,GLN3,Verified,1915,1802,73,,4717,87,681,,1316,,,373,,1585,2950,2018,,,2845,,,2515,3304,589
YER054C,GIP2,Verified,1925,1803,86,,4196,97,,,,,761,,,,,1803,,,,,,3305,3189,125
YOL042W,NGL1,Verified,2189,1804,76,,575,179,,4962,,,,3571,,1535,,1141,,,,,,2072,,3480
YLR050C,YLR050C,Uncharacterized,1718,1806,43,,,523,,1244,,,,2433,1689,1704,,2138,,2361,1806,2250,,2397,,358
YAL001C,TFC3,Verified,2090,1809,89,,2009,302,,,1809,2210,1365,5476,4712,806,,,,,,,,,,125
YEL053C,MAK10,Verified,1538,1809,46,,,335,,,547,,1887,2277,,1946,,1731,,,1613,,,,,1970
YOR353C,SOG2,Verified,1900,1811,56,,2722,267,,,1771,,3719,2316,,1664,,1851,,,,,,,,892
YDR511W,SDH7,Verified,3326,1812,121,,13341,748,,,3839,,1152,3057,1812,4643,,1151,,,,,,,,195
YHL038C,CBP2,Verified,1715,1814,49,,970,255,,2263,2048,,,2695,,1031,2131,1157,,,1814,,,,3141,1360
YLR080W,EMP46,Verified,1861,1818,57,676,2708,624,,,3206,,1053,1302,,,,,,,,,,2334,2988,
YLR021W,IRC25,Verified,2112,1820,74,,4534,404,,,2892,,,972,690,3469,,,,,,,,,,1820
YHR102W,KIC1,Verified,1743,1821,62,,1821,161,,,1288,,,2803,,848,,1939,3791,,1996,,,,,1040
YML029W,USA1,Verified,2164,1822,82,,1410,209,1822,,1880,,1510,2666,,6556,,,,,1535,,,,,1890
YHR103W,SBE22,Verified,2016,1823,62,,2592,190,,,4177,,1335,2205,,837,,1823,3473,,1514,,,,,
YPL222W,FMP40,Uncharacterized,1732,1824,40,,2561,914,,,2016,,,757,,1316,,,,,1632,,,2231,,2430
YIL144W,NDC80,Verified,1866,1825,58,332,1224,269,,,3396,,,1291,,1455,2284,,3433,,2195,,,2340,3008,1160
YNL193W,YNL193W,Uncharacterized,2105,1825,84,,1825,319,,,1375,5664,665,2253,,2634,,,,,,,,,,
YML091C,RPM2,Verified,2006,1826,106,,969,89,,185,2006,,,1965,8234,816,2118,2860,,,1686,,,1987,,1160
YIL112W,HOS4,Verified,1711,1826,60,,3371,141,,,2113,,,1225,,686,2502,1840,,,1811,,,,,
YBR022W,POA1,Verified,2955,1827,85,,2354,1143,,,8445,,1298,3993,,3938,,1300,,,,,,,,1170
YNR048W,YNR048W,Verified,2511,1828,79,,778,135,,,1577,,,899,,622,,1812,4435,2921,,1845,,6647,3952,4510
YDL209C,CWC2,Verified,2863,1829,97,,3641,472,10493,,1821,,665,3717,,1224,,1829,,,1640,,,,3345,2650
YOL161C,PAU20,Verified,1829,1829,,,,,,,,,,,,,,,,,,1829,,,,
YBL059C-A,CMC2,Verified,2487,1830,58,,3710,1390,,1788,1730,,3382,4904,4135,1871,,1685,,,,,,,,279
YDR379W,RGA2,Verified,2002,1830,56,,1446,332,2323,,3373,,,1787,,1354,2362,1872,3533,,1728,,,3661,,254
YMR240C,CUS1,Verified,1897,1830,51,,961,335,,,3005,1780,1090,2535,,577,,,3404,2432,1718,,,1922,3075,1830
YCL029C,BIK1,Verified,1927,1830,57,,2837,418,,,2973,,,1863,,1801,,1830,3596,,1722,,,,,300
YGL140C,YGL140C,Uncharacterized,1659,1831,46,,2174,88,,,1342,,,2590,,1042,2188,1895,,,2429,1766,,,,1080
YNL224C,SQS1,Verified,1868,1832,53,497,2139,428,,,3121,1299,,1804,2373,3693,,1923,,,1832,,,,,1440
YDR279W,RNH202,Verified,2038,1832,48,,1548,614,,,1784,,,3858,,2813,,1880,,,1468,,,,,2340
YFR031C,SMC2,Verified,2109,1833,55,1002,873,291,,,2774,,,3643,,1564,2385,1811,3734,,1833,,,,,3290
YEL067C,YEL067C,Uncharacterized,1835,1835,,1835,,,,,,,,,,,,,,,,,,,,
YLL006W,MMM1,Verified,1815,1836,53,,1485,268,,,,,,1484,,2188,,,,2975,,,,,,2490
YLR375W,STP3,Verified,2122,1838,54,,1850,310,,,1798,,3355,1826,,2174,,1690,,,,,,2497,4481,1240
YJR116W,TDA4,Uncharacterized,1445,1840,50,,,,,,,,,,,606,,1840,,,1889,,,,,
YLR299W,ECM38,Verified,1940,1841,72,2261,1841,109,,,4534,,,2213,,873,,,3494,,1465,,,,,672
YDR479C,PEX29,Verified,2012,1842,74,,1938,124,,,,,,545,,,,,,2473,1747,1688,,2543,,5040
YPR008W,HAA1,Verified,2040,1845,103,,1108,226,1377,,2567,,535,1986,8186,1811,,2507,,,1878,,,1958,,339
YPR179C,HDA3,Verified,1985,1847,57,,2421,306,,,4179,,,2609,,1268,,1155,,,1777,,,1917,3121,1100
YLR326W,YLR326W,Uncharacterized,1980,1849,25,,,,,,,,,1982,,2950,,1741,,,1731,1957,,,,1520
YDL156W,CMR1,Verified,2087,1850,56,,1624,464,,,2183,,,1850,,1302,,,3374,,,,,,,3810
