Factors,,,,,,
,1,2,3,4,5,6
A,0:RLucI,0:RLucII,0:RLucC,1.25:RLucI,1.25:RLucII,1.25:RLucC
B,0:RLucI,0:RLucII,0:RLucC,1.25:RLucI,1.25:RLucII,1.25:RLucC
C,0:RLucI,0:RLucII,0:RLucC,1.25:RLucI,1.25:RLucII,1.25:RLucC
D,0:RLucI,0:RLucII,0:RLucC,1.25:RLucI,1.25:RLucII,1.25:RLucC
E,0:RLucI,0:RLucII,0:RLucC,1.25:RLucI,1.25:RLucII,1.25:RLucC
F,0:RLucI,0:RLucII,0:RLucC,1.25:RLucI,1.25:RLucII,1.25:RLucC
G,0:RLucI,0:RLucII,0:RLucC,1.25:RLucI,1.25:RLucII,1.25:RLucC
H,0:RLucI,0:RLucII,0:RLucC,1.25:RLucI,1.25:RLucII,1.25:RLucC
,,,,,,
Firefly (Source: 160413_SDS_NaCl_H2O2_F),,,,,,
,1,2,3,4,5,6
A,187116,146550,488493,9923,3249,9505
B,99708,122809,408011,11062,4135,6464
C,112939,123711,475053,8357,3673,8323
D,211481,162598,499525,7216,4247,13713
E,140065,146787,352463,11732,4542,14083
F,204322,130024,537500,13312,4121,17141
G,148965,155383,427874,17832,5744,9688
H,154389,178972,507156,7763,4936,12084
,,,,,,
Renilla (Source: 160413_SDS_NaCl_H2O2_R),,,,,,
,1,2,3,4,5,6
A,60994,166539,264392,5049,4930,5639
B,32327,211747,233648,5512,5343,3927
C,35947,162344,289138,3570,5240,4499
D,63076,175616,286321,2787,6053,7769
E,31463,155712,202234,3973,4821,8036
F,46804,138935,275610,5078,4708,8125
G,35352,152079,213880,5992,7573,4577
H,37408,196482,266264,2664,5782,5780
