Factors,,,,,,
,1,2,3,7,8,9
A,wt:RLucI,wt:RLucII,wt:RLucC,tif1:RLucI,tif1:RLucII,tif1:RLucC
B,wt:RLucI,wt:RLucII,wt:RLucC,tif1:RLucI,tif1:RLucII,tif1:RLucC
C,wt:RLucI,wt:RLucII,wt:RLucC,tif1:RLucI,tif1:RLucII,tif1:RLucC
D,wt:RLucI,wt:RLucII,wt:RLucC,tif1:RLucI,tif1:RLucII,tif1:RLucC
E,wt:RLucI,wt:RLucII,wt:RLucC,tif1:RLucI,tif1:RLucII,tif1:RLucC
F,wt:RLucI,wt:RLucII,wt:RLucC,tif1:RLucI,tif1:RLucII,tif1:RLucC
G,wt:RLucI,wt:RLucII,wt:RLucC,tif1:RLucI,tif1:RLucII,tif1:RLucC
H,wt:RLucI,wt:RLucII,wt:RLucC,tif1:RLucI,tif1:RLucII,tif1:RLucC
,,,,,,
Firefly (Source: 160317_deletions_3 plasmids_F),,,,,,
,1,2,3,7,8,9
A,116508,60872,234254,114831,71778,262081
B,133933,62794,206340,98663,70843,203574
C,135696,54670,195952,94132,82442,222280
D,129626,53769,219000,49483,56801,201154
E,146911,47252,194468,65822,64930,223949
F,137423,53949,169180,67431,65934,231637
G,142939,50514,189853,63717,66266,236150
H,146657,56999,217422,70231,66758,243831
,,,,,,
Renilla (Source: 160317_deletions_3 plasmids_F),,,,,,
,1,2,3,7,8,9
A,12389,13807,29471,4339,4658,14404
B,5538,11930,23021,3368,4835,10248
C,7529,10291,22646,3285,5962,11596
D,6223,10887,25189,1820,3808,10823
E,7085,9107,21442,2433,4322,12453
F,6607,10568,19740,2525,4488,16099
G,6108,10824,22608,2272,4630,13621
H,7542,12102,23970,2518,4267,13364
